Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0004","0.0000","0.0000"
"0.0290","0.0000","0.0008","0.0000","0.0000"
"0.0490","0.0169","0.0191","0.0000","0.0000"
"0.0690","0.0708","0.0549","0.0000","0.0000"
"0.0890","0.1219","0.0783","0.0000","0.0000"
"0.1090","0.1871","0.1281","0.0000","0.0000"
"0.1290","0.2509","0.1558","0.0000","0.0000"
"0.1490","0.3125","0.1888","0.0000","0.0000"
"0.1690","0.3737","0.2077","0.0000","0.0000"
"0.1890","0.4343","0.2300","0.0000","0.0000"
"0.2090","0.4948","0.2397","0.0000","0.0000"
"0.2290","0.5547","0.2561","0.0000","0.0000"
"0.2490","0.6149","0.2615","0.0000","0.0000"
"0.2690","0.6751","0.2730","0.0000","0.0000"
"0.2890","0.7351","0.2772","0.0000","0.0000"
"0.3090","0.7952","0.2872","0.0000","0.0000"
"0.3290","0.8553","0.2899","0.0000","0.0000"
"0.3490","0.9153","0.2968","0.0000","0.0000"
"0.3690","0.9754","0.2997","0.0000","0.0000"
"0.3890","1.0354","0.3068","0.0000","0.0000"
"0.4090","1.0954","0.3079","0.0000","0.0000"
"0.4290","1.1553","0.3135","0.0000","0.0000"
"0.4490","1.2154","0.3156","0.0000","0.0000"
"0.4690","1.2756","0.3204","0.0000","0.0000"
"0.4890","1.3354","0.3217","0.0000","0.0000"
"0.5090","1.3955","0.3270","0.0000","0.0000"
"0.5290","1.4555","0.3290","0.0000","0.0000"
"0.5490","1.5155","0.3328","0.0000","0.0000"
"0.5690","1.5755","0.3342","0.0000","0.0000"
"0.5890","1.6354","0.3380","0.0000","0.0000"
"0.6090","1.6953","0.3395","0.0000","0.0000"
"0.6290","1.7554","0.3435","0.0000","0.0000"
"0.6490","1.8154","0.3445","0.0000","0.0000"
"0.6690","1.8753","0.3476","0.0000","0.0000"
"0.6890","1.9354","0.3504","0.0000","0.0000"
"0.7090","1.9954","0.3532","0.0000","0.0000"
"0.7290","2.0553","0.3546","0.0000","0.0000"
"0.7490","2.1153","0.3581","0.0000","0.0000"
"0.7690","2.1754","0.3599","0.0000","0.0000"
"0.7890","2.2354","0.3625","0.0000","0.0000"
"0.8090","2.2954","0.3638","0.0000","0.0000"
"0.8290","2.3554","0.3669","0.0000","0.0000"
"0.8490","2.4154","0.3698","0.0000","0.0000"
"0.8690","2.4755","0.3723","0.0000","0.0000"
"0.8890","2.5356","0.3736","0.0000","0.0000"
"0.9090","2.5954","0.3756","0.0000","0.0000"
"0.9290","2.6553","0.3781","0.0000","0.0000"
"0.9490","2.7156","0.3806","0.0000","0.0000"
"0.9690","2.7755","0.3824","0.0000","0.0000"
"0.9890","2.8354","0.3849","0.0000","0.0000"
"1.0090","2.8954","0.3878","0.0000","0.0000"
"1.0290","2.9555","0.3895","0.0000","0.0000"
"1.0490","3.0156","0.3917","0.0000","0.0000"
"1.0690","3.0756","0.3939","0.0000","0.0000"
"1.0890","3.1354","0.3956","0.0000","0.0000"
"1.1090","3.1953","0.3977","0.0000","0.0000"
"1.1290","3.2554","0.4007","0.0000","0.0000"
"1.1490","3.3155","0.4032","0.0000","0.0000"
"1.1690","3.3753","0.4058","0.0000","0.0000"
"1.1890","3.4354","0.4080","0.0000","0.0000"
"1.2090","3.4954","0.4098","0.0000","0.0000"
"1.2290","3.5551","0.4118","0.0000","0.0000"
"1.2490","3.6151","0.4143","0.0000","0.0000"
"1.2690","3.6754","0.4161","0.0000","0.0000"
"1.2890","3.7353","0.4181","0.0000","0.0000"
"1.3090","3.7952","0.4212","0.0000","0.0000"
"1.3290","3.8553","0.4236","0.0000","0.0000"
"1.3490","3.9152","0.4247","0.0000","0.0000"
"1.3690","3.9751","0.4271","0.0000","0.0000"
"1.3890","4.0352","0.4296","0.0000","0.0000"
"1.4090","4.0952","0.4323","0.0000","0.0000"
"1.4290","4.1552","0.4333","0.0000","0.0000"
"1.4490","4.2154","0.4355","0.0000","0.0000"
"1.4690","4.2752","0.4380","0.0000","0.0000"
"1.4890","4.3352","0.4413","0.0000","0.0000"
"1.5090","4.3953","0.4428","0.0000","0.0000"
"1.5290","4.4553","0.4447","0.0000","0.0000"
"1.5490","4.5155","0.4466","0.0000","0.0000"
"1.5690","4.5755","0.4489","0.0000","0.0000"
"1.5890","4.6355","0.4501","0.0000","0.0000"
"1.6090","4.6953","0.4522","0.0000","0.0000"
"1.6290","4.7553","0.4555","0.0000","0.0000"
"1.6490","4.8155","0.4584","0.0000","0.0000"
"1.6690","4.8754","0.4591","0.0000","0.0000"
"1.6890","4.9354","0.4604","0.0000","0.0000"
"1.7090","4.9955","0.4635","0.0000","0.0000"
"1.7290","5.0555","0.4656","0.0000","0.0000"
"1.7490","5.1153","0.4679","0.0000","0.0000"
"1.7690","5.1754","0.4694","0.0000","0.0000"
"1.7890","5.2353","0.4716","0.0000","0.0000"
"1.8090","5.2953","0.4737","0.0000","0.0000"
"1.8290","5.3553","0.4753","0.0000","0.0000"
"1.8490","5.4151","0.4764","0.0000","0.0000"
"1.8690","5.4751","0.4784","0.0000","0.0000"
"1.8890","5.5353","0.4804","0.0000","0.0000"
"1.9090","5.5953","0.4815","0.0000","0.0000"
"1.9290","5.6552","0.4835","0.0000","0.0000"
"1.9490","5.7153","0.4857","0.0000","0.0000"
"1.9690","5.7753","0.4872","0.0000","0.0000"
"1.9890","5.8352","0.4884","0.0000","0.0000"
"2.0090","5.8953","0.4904","0.0000","0.0000"
"2.0290","5.9553","0.4919","0.0000","0.0000"
"2.0490","6.0153","0.4943","0.0000","0.0000"
"2.0690","6.0754","0.4948","0.0000","0.0000"
"2.0890","6.1354","0.4968","0.0000","0.0000"
"2.1090","6.1952","0.4979","0.0000","0.0000"
"2.1290","6.2554","0.5005","0.0000","0.0000"
"2.1490","6.3154","0.5005","0.0000","0.0000"
"2.1690","6.3754","0.5030","0.0000","0.0000"
"2.1890","6.4354","0.5041","0.0000","0.0000"
"2.2090","6.4954","0.5058","0.0000","0.0000"
"2.2290","6.5554","0.5062","0.0000","0.0000"
"2.2490","6.6154","0.5086","0.0000","0.0000"
"2.2690","6.6755","0.5092","0.0000","0.0000"
"2.2890","6.7353","0.5105","0.0000","0.0000"
"2.3090","6.7953","0.5107","0.0000","0.0000"
"2.3290","6.8554","0.5126","0.0000","0.0000"
"2.3490","6.9152","0.5142","0.0000","0.0000"
"2.3690","6.9752","0.5160","0.0000","0.0000"
"2.3890","7.0353","0.5161","0.0000","0.0000"
"2.4090","7.0952","0.5168","0.0000","0.0000"
"2.4290","7.1552","0.5183","0.0000","0.0000"
"2.4490","7.2154","0.5201","0.0000","0.0000"
"2.4690","7.2754","0.5210","0.0000","0.0000"
"2.4890","7.3354","0.5219","0.0000","0.0000"
"2.5090","7.3955","0.5228","0.0000","0.0000"
"2.5290","7.4554","0.5238","0.0000","0.0000"
"2.5490","7.5156","0.5246","0.0000","0.0000"
"2.5690","7.5756","0.5261","0.0000","0.0000"
"2.5890","7.6354","0.5265","0.0000","0.0000"
"2.6090","7.6954","0.5281","0.0000","0.0000"
"2.6290","7.7553","0.5282","0.0000","0.0000"
"2.6490","7.8155","0.5298","0.0000","0.0000"
"2.6690","7.8754","0.5306","0.0000","0.0000"
"2.6890","7.9355","0.5317","0.0000","0.0000"
"2.7090","7.9955","0.5317","0.0000","0.0000"
"2.7290","8.0554","0.5328","0.0000","0.0000"
"2.7490","8.1153","0.5342","0.0000","0.0000"
"2.7690","8.1753","0.5355","0.0000","0.0000"
"2.7890","8.2353","0.5356","0.0000","0.0000"
"2.8090","8.2954","0.5363","0.0000","0.0000"
"2.8290","8.3553","0.5371","0.0000","0.0000"
"2.8490","8.4153","0.5382","0.0000","0.0000"
"2.8690","8.4753","0.5388","0.0000","0.0000"
"2.8890","8.5353","0.5394","0.0000","0.0000"
"2.9090","8.5952","0.5400","0.0000","0.0000"
"2.9290","8.6552","0.5414","0.0000","0.0000"
"2.9490","8.7153","0.5423","0.0000","0.0000"
"2.9690","8.7752","0.5429","0.0000","0.0000"
"2.9890","8.8352","0.5437","0.0000","0.0000"
"3.0090","8.8953","0.5440","0.0000","0.0000"
"3.0290","8.9552","0.5442","0.0000","0.0000"
"3.0490","9.0152","0.5451","0.0000","0.0000"
"3.0690","9.0753","0.5467","0.0000","0.0000"
"3.0890","9.1353","0.5474","0.0000","0.0000"
"3.1090","9.1953","0.5477","0.0000","0.0000"
"3.1290","9.2554","0.5483","0.0000","0.0000"
"3.1490","9.3154","0.5497","0.0000","0.0000"
"3.1690","9.3754","0.5505","0.0000","0.0000"
"3.1890","9.4354","0.5513","0.0000","0.0000"
"3.2090","9.4954","0.5515","0.0000","0.0000"
"3.2290","9.5554","0.5530","0.0000","0.0000"
"3.2490","9.6156","0.5528","0.0000","0.0000"
"3.2690","9.6755","0.5534","0.0000","0.0000"
"3.2890","9.7354","0.5539","0.0000","0.0000"
"3.3090","9.7953","0.5558","0.0000","0.0000"
"3.3290","9.8554","0.5558","0.0000","0.0000"
"3.3490","9.9153","0.5566","0.0000","0.0000"
"3.3690","9.9753","0.5567","0.0000","0.0000"
"3.3890","10.0353","0.5583","0.0000","0.0000"
"3.4090","10.0953","0.5582","0.0000","0.0000"
"3.4290","10.1553","0.5592","0.0000","0.0000"
"3.4490","10.2154","0.5593","0.0000","0.0000"
"3.4690","10.2753","0.5597","0.0000","0.0000"
"3.4890","10.3352","0.5599","0.0000","0.0000"
"3.5090","10.3954","0.5611","0.0000","0.0000"
"3.5290","10.4553","0.5607","0.0000","0.0000"
"3.5490","10.5153","0.5623","0.0000","0.0000"
"3.5690","10.5753","0.5623","0.0000","0.0000"
"3.5890","10.6352","0.5635","0.0000","0.0000"
"3.6090","10.6952","0.5637","0.0000","0.0000"
"3.6290","10.7552","0.5643","0.0000","0.0000"
"3.6490","10.8153","0.5643","0.0000","0.0000"
"3.6690","10.8753","0.5650","0.0000","0.0000"
"3.6890","10.9353","0.5662","0.0000","0.0000"
"3.7090","10.9955","0.5679","0.0000","0.0000"
"3.7290","11.0554","0.5676","0.0000","0.0000"
"3.7490","11.1154","0.5684","0.0000","0.0000"
"3.7690","11.1754","0.5685","0.0000","0.0000"
"3.7890","11.2352","0.5696","0.0000","0.0000"
"3.8090","11.2953","0.5697","0.0000","0.0000"
"3.8290","11.3554","0.5703","0.0000","0.0000"
"3.8490","11.4153","0.5700","0.0000","0.0000"
"3.8690","11.4753","0.5711","0.0000","0.0000"
"3.8890","11.5353","0.5710","0.0000","0.0000"
"3.9090","11.5953","0.5718","0.0000","0.0000"
"3.9290","11.6553","0.5725","0.0000","0.0000"
"3.9490","11.7154","0.5745","0.0000","0.0000"
"3.9690","11.7753","0.5744","0.0000","0.0000"
"3.9890","11.8353","0.5749","0.0000","0.0000"
"4.0090","11.8953","0.5754","0.0000","0.0000"
"4.0290","11.9553","0.5763","0.0000","0.0000"
"4.0440","12.0002","0.5757","0.5000","0.5000"
"4.0450","12.0032","0.5757","0.5000","0.5000"
"4.0460","12.0062","0.5757","0.5000","0.5000"
"4.0660","12.0212","0.5296","0.5000","0.5000"
"4.0860","11.9632","0.5056","0.5000","0.5000"
"4.1060","11.9125","0.5475","0.5000","0.5000"
"4.1260","11.8488","0.5433","0.5000","0.5000"
"4.1460","11.7859","0.5544","0.5000","0.5000"
"4.1660","11.7245","0.5433","0.5000","0.5000"
"4.1860","11.6637","0.5425","0.5000","0.5000"
"4.2060","11.6029","0.5278","0.5000","0.5000"
"4.2260","11.5424","0.5283","0.5000","0.5000"
"4.2460","11.4822","0.5156","0.5000","0.5000"
"4.2660","11.4221","0.5155","0.5000","0.5000"
"4.2860","11.3619","0.5044","0.5000","0.5000"
"4.3060","11.3020","0.5035","0.5000","0.5000"
"4.3260","11.2419","0.4944","0.5000","0.5000"
"4.3460","11.1819","0.4927","0.5000","0.5000"
"4.3660","11.1220","0.4840","0.5000","0.5000"
"4.3860","11.0619","0.4815","0.5000","0.5000"
"4.4060","11.0019","0.4727","0.5000","0.5000"
"4.4260","10.9419","0.4725","0.5000","0.5000"
"4.4460","10.8819","0.4638","0.5000","0.5000"
"4.4660","10.8219","0.4614","0.5000","0.5000"
"4.4860","10.7620","0.4545","0.5000","0.5000"
"4.5060","10.7019","0.4510","0.5000","0.5000"
"4.5260","10.6419","0.4442","0.5000","0.5000"
"4.5460","10.5819","0.4417","0.5000","0.5000"
"4.5660","10.5219","0.4357","0.5000","0.5000"
"4.5860","10.4620","0.4333","0.5000","0.5000"
"4.6060","10.4019","0.4266","0.5000","0.5000"
"4.6260","10.3419","0.4232","0.5000","0.5000"
"4.6460","10.2819","0.4178","0.5000","0.5000"
"4.6660","10.2218","0.4140","0.5000","0.5000"
"4.6860","10.1618","0.4092","0.5000","0.5000"
"4.7060","10.1018","0.4047","0.5000","0.5000"
