Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0056"
"0.0200","0.0031","-0.0039"
"0.0400","0.0194","0.0165"
"0.0600","0.0296","0.0351"
"0.0800","0.0513","0.0841"
"0.1000","0.0747","0.1306"
"0.1200","0.0969","0.1829"
"0.1400","0.1180","0.2221"
"0.1600","0.1386","0.2590"
"0.1800","0.1591","0.2813"
"0.2000","0.1794","0.3032"
"0.2200","0.1996","0.3146"
"0.2400","0.2197","0.3322"
"0.2600","0.2396","0.3404"
"0.2800","0.2599","0.3541"
"0.3000","0.2798","0.3568"
"0.3200","0.3000","0.3689"
"0.3400","0.3198","0.3728"
"0.3600","0.3400","0.3831"
"0.3800","0.3598","0.3846"
"0.4000","0.3799","0.3942"
"0.4200","0.3999","0.3967"
"0.4400","0.4199","0.4040"
"0.4600","0.4400","0.4048"
"0.4800","0.4600","0.4130"
"0.5000","0.4800","0.4151"
"0.5200","0.4999","0.4210"
"0.5400","0.5199","0.4211"
"0.5600","0.5398","0.4263"
"0.5800","0.5598","0.4275"
"0.6000","0.5800","0.4328"
"0.6200","0.6000","0.4322"
"0.6400","0.6200","0.4367"
"0.6600","0.6400","0.4369"
"0.6800","0.6600","0.4401"
"0.7000","0.6799","0.4405"
"0.7200","0.6998","0.4439"
"0.7400","0.7199","0.4444"
"0.7600","0.7398","0.4439"
"0.7800","0.7600","0.4435"
"0.8000","0.7798","0.4464"
"0.8200","0.8000","0.4482"
"0.8400","0.8199","0.4473"
"0.8600","0.8400","0.4448"
"0.8800","0.8600","0.4448"
"0.9000","0.8800","0.4459"
"0.9200","0.8999","0.4470"
"0.9400","0.9199","0.4478"
"0.9600","0.9399","0.4486"
"0.9800","0.9599","0.4491"
"1.0000","0.9799","0.4487"
"1.0200","0.9999","0.4495"
"1.0400","1.0200","0.4507"
"1.0600","1.0400","0.4493"
"1.0800","1.0600","0.4470"
"1.1000","1.0799","0.4472"
"1.1200","1.0998","0.4476"
"1.1400","1.1200","0.4496"
"1.1600","1.1399","0.4484"
"1.1800","1.1600","0.4490"
"1.2000","1.1800","0.4462"
"1.2200","1.1999","0.4425"
"1.2400","1.2200","0.4384"
"1.2600","1.2399","0.4375"
"1.2800","1.2600","0.4370"
"1.3000","1.2799","0.4380"
"1.3200","1.3000","0.4343"
"1.3400","1.3199","0.4346"
"1.3600","1.3401","0.4336"
"1.3800","1.3599","0.4344"
"1.4000","1.3800","0.4317"
"1.4200","1.3999","0.4304"
"1.4400","1.4200","0.4275"
"1.4600","1.4400","0.4278"
"1.4800","1.4599","0.4252"
"1.5000","1.4799","0.4263"
"1.5200","1.4999","0.4242"
"1.5400","1.5198","0.4256"
"1.5600","1.5399","0.4244"
"1.5800","1.5598","0.4265"
"1.6000","1.5799","0.4241"
"1.6200","1.5998","0.4247"
"1.6400","1.6199","0.4223"
"1.6600","1.6399","0.4247"
"1.6800","1.6599","0.4245"
"1.7000","1.6799","0.4263"
"1.7200","1.6998","0.4236"
"1.7400","1.7199","0.4250"
"1.7600","1.7398","0.4243"
"1.7800","1.7601","0.4250"
"1.8000","1.7799","0.4216"
"1.8200","1.8001","0.4224"
"1.8400","1.8199","0.4209"
"1.8600","1.8400","0.4202"
"1.8800","1.8599","0.4178"
"1.9000","1.8799","0.4186"
"1.9200","1.8998","0.4175"
"1.9400","1.9197","0.4158"
"1.9600","1.9399","0.4133"
"1.9800","1.9598","0.4136"
"2.0000","1.9799","0.4126"
"2.0200","1.9998","0.4121"
"2.0400","2.0198","0.4117"
"2.0600","2.0397","0.4123"
"2.0800","2.0598","0.4124"
"2.1000","2.0798","0.4116"
"2.1200","2.0998","0.4113"
"2.1400","2.1200","0.4111"
"2.1600","2.1399","0.4116"
"2.1800","2.1599","0.4109"
"2.2000","2.1798","0.4110"
"2.2200","2.1999","0.4107"
