Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0025"
"0.0200","0.0161","0.0248"
"0.0400","0.0693","0.0869"
"0.0600","0.1185","0.1832"
"0.0800","0.1839","0.3133"
"0.1000","0.2484","0.3984"
"0.1200","0.3109","0.4574"
"0.1400","0.3724","0.4853"
"0.1600","0.4332","0.5095"
"0.1800","0.4938","0.5207"
"0.2000","0.5541","0.5377"
"0.2200","0.6142","0.5450"
"0.2400","0.6740","0.5595"
"0.2600","0.7340","0.5654"
"0.2800","0.7941","0.5763"
"0.3000","0.8540","0.5813"
"0.3200","0.9141","0.5915"
"0.3400","0.9741","0.5959"
"0.3600","1.0341","0.6033"
"0.3800","1.0942","0.6081"
"0.4000","1.1543","0.6152"
"0.4200","1.2142","0.6185"
"0.4400","1.2741","0.6235"
"0.4600","1.3343","0.6275"
"0.4800","1.3942","0.6325"
"0.5000","1.4544","0.6356"
"0.5200","1.5143","0.6382"
"0.5400","1.5743","0.6421"
"0.5600","1.6344","0.6458"
"0.5800","1.6943","0.6481"
"0.6000","1.7542","0.6493"
"0.6200","1.8142","0.6516"
"0.6400","1.8742","0.6542"
"0.6600","1.9343","0.6549"
"0.6800","1.9944","0.6556"
"0.7000","2.0544","0.6569"
"0.7200","2.1142","0.6574"
"0.7400","2.1742","0.6575"
"0.7600","2.2344","0.6568"
"0.7800","2.2945","0.6556"
"0.8000","2.3542","0.6554"
"0.8200","2.4140","0.6550"
"0.8400","2.4741","0.6539"
"0.8600","2.5339","0.6527"
"0.8800","2.5940","0.6524"
"0.9000","2.6540","0.6512"
"0.9200","2.7139","0.6493"
"0.9400","2.7740","0.6492"
"0.9600","2.8341","0.6486"
"0.9800","2.8940","0.6432"
"1.0000","2.9540","0.6389"
"1.0200","3.0141","0.6349"
"1.0400","3.0741","0.6344"
"1.0600","3.1340","0.6310"
"1.0800","3.1941","0.6283"
"1.1000","3.2540","0.6245"
"1.1200","3.3141","0.6232"
"1.1400","3.3741","0.6192"
"1.1600","3.4341","0.6177"
"1.1800","3.4942","0.6149"
"1.2000","3.5544","0.6149"
"1.2200","3.6144","0.6080"
"1.2400","3.6744","0.6038"
"1.2600","3.7342","0.5995"
"1.2800","3.7943","0.5990"
"1.3000","3.8542","0.5951"
"1.3200","3.9143","0.5948"
"1.3400","3.9742","0.5923"
"1.3600","4.0341","0.5938"
"1.3800","4.0942","0.5911"
"1.4000","4.1543","0.5846"
"1.4200","4.2142","0.5749"
"1.4400","4.2742","0.5733"
"1.4600","4.3341","0.5689"
"1.4800","4.3941","0.5692"
"1.5000","4.4540","0.5672"
"1.5200","4.5141","0.5686"
"1.5400","4.5739","0.5650"
"1.5600","4.6340","0.5652"
"1.5800","4.6941","0.5629"
"1.6000","4.7541","0.5647"
"1.6200","4.8141","0.5610"
"1.6400","4.8742","0.5617"
"1.6600","4.9342","0.5595"
