Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0001","0.0000","0.0000"
"0.0220","0.0000","-0.0002","0.0000","0.0000"
"0.0420","0.0392","0.0418","0.0000","0.0000"
"0.0620","0.1535","0.0703","0.0000","0.0000"
"0.0820","0.2620","0.0470","0.0000","0.0000"
"0.1020","0.3894","0.0644","0.0000","0.0000"
"0.1220","0.5138","0.0591","0.0000","0.0000"
"0.1420","0.6351","0.0762","0.0000","0.0000"
"0.1620","0.7560","0.0847","0.0000","0.0000"
"0.1820","0.8769","0.1056","0.0000","0.0000"
"0.2020","0.9976","0.1075","0.0000","0.0000"
"0.2220","1.1180","0.1215","0.0000","0.0000"
"0.2420","1.2383","0.1229","0.0000","0.0000"
"0.2620","1.3585","0.1341","0.0000","0.0000"
"0.2820","1.4785","0.1368","0.0000","0.0000"
"0.3020","1.5985","0.1458","0.0000","0.0000"
"0.3220","1.7187","0.1498","0.0000","0.0000"
"0.3420","1.8387","0.1575","0.0000","0.0000"
"0.3620","1.9588","0.1602","0.0000","0.0000"
"0.3820","2.0790","0.1668","0.0000","0.0000"
"0.4020","2.1987","0.1687","0.0000","0.0000"
"0.4220","2.3188","0.1751","0.0000","0.0000"
"0.4420","2.4386","0.1772","0.0000","0.0000"
"0.4620","2.5585","0.1862","0.0000","0.0000"
"0.4820","2.6786","0.1895","0.0000","0.0000"
"0.5020","2.7986","0.1963","0.0000","0.0000"
"0.5220","2.9187","0.1956","0.0000","0.0000"
"0.5420","3.0385","0.2015","0.0000","0.0000"
"0.5620","3.1583","0.2042","0.0000","0.0000"
"0.5820","3.2784","0.2109","0.0000","0.0000"
"0.6020","3.3985","0.2131","0.0000","0.0000"
"0.6220","3.5188","0.2175","0.0000","0.0000"
"0.6420","3.6387","0.2207","0.0000","0.0000"
"0.6620","3.7586","0.2258","0.0000","0.0000"
"0.6820","3.8785","0.2294","0.0000","0.0000"
"0.7020","3.9986","0.2350","0.0000","0.0000"
"0.7220","4.1186","0.2375","0.0000","0.0000"
"0.7420","4.2386","0.2414","0.0000","0.0000"
"0.7620","4.3586","0.2458","0.0000","0.0000"
"0.7820","4.4785","0.2490","0.0000","0.0000"
"0.8020","4.5985","0.2523","0.0000","0.0000"
"0.8220","4.7183","0.2603","0.0000","0.0000"
"0.8420","4.8384","0.2633","0.0000","0.0000"
"0.8620","4.9587","0.2682","0.0000","0.0000"
"0.8820","5.0787","0.2688","0.0000","0.0000"
"0.9020","5.1986","0.2757","0.0000","0.0000"
"0.9220","5.3184","0.2795","0.0000","0.0000"
"0.9420","5.4385","0.2841","0.0000","0.0000"
"0.9620","5.5586","0.2877","0.0000","0.0000"
"0.9820","5.6786","0.2927","0.0000","0.0000"
"1.0020","5.7987","0.2967","0.0000","0.0000"
"1.0220","5.9185","0.3009","0.0000","0.0000"
"1.0420","6.0384","0.3049","0.0000","0.0000"
"1.0620","6.1584","0.3096","0.0000","0.0000"
"1.0820","6.2786","0.3149","0.0000","0.0000"
"1.1020","6.3986","0.3206","0.0000","0.0000"
"1.1220","6.5188","0.3247","0.0000","0.0000"
"1.1420","6.6389","0.3278","0.0000","0.0000"
"1.1620","6.7587","0.3316","0.0000","0.0000"
"1.1820","6.8786","0.3408","0.0000","0.0000"
"1.2020","6.9987","0.3429","0.0000","0.0000"
"1.2220","7.1186","0.3515","0.0000","0.0000"
"1.2420","7.2387","0.3504","0.0000","0.0000"
"1.2620","7.3586","0.3575","0.0000","0.0000"
"1.2820","7.4786","0.3604","0.0000","0.0000"
"1.3020","7.5986","0.3694","0.0000","0.0000"
"1.3220","7.7184","0.3732","0.0000","0.0000"
"1.3420","7.8383","0.3803","0.0000","0.0000"
"1.3620","7.9585","0.3817","0.0000","0.0000"
"1.3820","8.0786","0.3888","0.0000","0.0000"
"1.4020","8.1986","0.3913","0.0000","0.0000"
"1.4220","8.3186","0.3986","0.0000","0.0000"
"1.4420","8.4384","0.4030","0.0000","0.0000"
"1.4620","8.5586","0.4112","0.0000","0.0000"
"1.4820","8.6788","0.4152","0.0000","0.0000"
"1.5020","8.7988","0.4201","0.0000","0.0000"
"1.5220","8.9186","0.4230","0.0000","0.0000"
"1.5420","9.0385","0.4304","0.0000","0.0000"
"1.5620","9.1584","0.4370","0.0000","0.0000"
"1.5820","9.2785","0.4439","0.0000","0.0000"
"1.6020","9.3985","0.4493","0.0000","0.0000"
"1.6220","9.5184","0.4549","0.0000","0.0000"
"1.6420","9.6384","0.4589","0.0000","0.0000"
"1.6620","9.7584","0.4656","0.0000","0.0000"
"1.6820","9.8784","0.4716","0.0000","0.0000"
"1.7020","9.9986","0.4788","0.0000","0.0000"
"1.7220","10.1187","0.4836","0.0000","0.0000"
"1.7420","10.2387","0.4901","0.0000","0.0000"
"1.7620","10.3586","0.4960","0.0000","0.0000"
"1.7820","10.4784","0.5025","0.0000","0.0000"
"1.8020","10.5984","0.5080","0.0000","0.0000"
"1.8220","10.7185","0.5154","0.0000","0.0000"
"1.8420","10.8385","0.5212","0.0000","0.0000"
"1.8620","10.9586","0.5286","0.0000","0.0000"
"1.8820","11.0785","0.5346","0.0000","0.0000"
"1.9020","11.1985","0.5413","0.0000","0.0000"
"1.9220","11.3185","0.5473","0.0000","0.0000"
"1.9420","11.4385","0.5537","0.0000","0.0000"
"1.9620","11.5586","0.5619","0.0000","0.0000"
"1.9820","11.6786","0.5681","0.0000","0.0000"
"2.0020","11.7987","0.5737","0.0000","0.0000"
"2.0220","11.9187","0.5788","0.0000","0.0000"
"2.0360","12.0026","0.5821","0.5000","0.5000"
"2.0370","12.0086","0.5824","0.5000","0.5000"
"2.0380","12.0146","0.5826","0.5000","0.5000"
"2.0580","12.0446","0.4965","0.5000","0.5000"
"2.0780","11.9227","0.4507","0.5000","0.5000"
"2.0980","11.8200","0.5441","0.5000","0.5000"
"2.1180","11.6946","0.5414","0.5000","0.5000"
"2.1380","11.5703","0.5587","0.5000","0.5000"
"2.1580","11.4488","0.5378","0.5000","0.5000"
"2.1780","11.3277","0.5363","0.5000","0.5000"
"2.1980","11.2071","0.5119","0.5000","0.5000"
"2.2180","11.0865","0.5119","0.5000","0.5000"
"2.2380","10.9662","0.4898","0.5000","0.5000"
"2.2580","10.8458","0.4879","0.5000","0.5000"
"2.2780","10.7256","0.4713","0.5000","0.5000"
"2.2980","10.6054","0.4690","0.5000","0.5000"
"2.3180","10.4853","0.4533","0.5000","0.5000"
"2.3380","10.3655","0.4489","0.5000","0.5000"
"2.3580","10.2455","0.4330","0.5000","0.5000"
"2.3780","10.1255","0.4302","0.5000","0.5000"
"2.3980","10.0055","0.4155","0.5000","0.5000"
"2.4180","9.8856","0.4133","0.5000","0.5000"
"2.4380","9.7656","0.3995","0.5000","0.5000"
"2.4580","9.6457","0.3943","0.5000","0.5000"
"2.4780","9.5258","0.3833","0.5000","0.5000"
"2.4980","9.4058","0.3767","0.5000","0.5000"
"2.5180","9.2855","0.3656","0.5000","0.5000"
"2.5380","9.1655","0.3617","0.5000","0.5000"
"2.5580","9.0455","0.3519","0.5000","0.5000"
"2.5780","8.9256","0.3468","0.5000","0.5000"
"2.5980","8.8057","0.3362","0.5000","0.5000"
"2.6180","8.6856","0.3299","0.5000","0.5000"
"2.6380","8.5657","0.3210","0.5000","0.5000"
"2.6580","8.4455","0.3154","0.5000","0.5000"
"2.6780","8.3256","0.3081","0.5000","0.5000"
"2.6980","8.2057","0.3022","0.5000","0.5000"
"2.7180","8.0858","0.2935","0.5000","0.5000"
"2.7380","7.9658","0.2872","0.5000","0.5000"
"2.7580","7.8455","0.2792","0.5000","0.5000"
"2.7780","7.7254","0.2733","0.5000","0.5000"
"2.7980","7.6055","0.2678","0.5000","0.5000"
"2.8180","7.4856","0.2619","0.5000","0.5000"
"2.8380","7.3657","0.2546","0.5000","0.5000"
"2.8580","7.2457","0.2473","0.5000","0.5000"
"2.8780","7.1256","0.2404","0.5000","0.5000"
"2.8980","7.0054","0.2361","0.5000","0.5000"
"2.9180","6.8854","0.2296","0.5000","0.5000"
"2.9380","6.7654","0.2248","0.5000","0.5000"
"2.9580","6.6456","0.2186","0.5000","0.5000"
"2.9780","6.5258","0.2126","0.5000","0.5000"
"2.9980","6.4059","0.2061","0.5000","0.5000"
"3.0180","6.2856","0.2013","0.5000","0.5000"
"3.0380","6.1653","0.1962","0.5000","0.5000"
"3.0580","6.0455","0.1908","0.5000","0.5000"
"3.0780","5.9255","0.1842","0.5000","0.5000"
"3.0980","5.8056","0.1792","0.5000","0.5000"
"3.1180","5.6856","0.1740","0.5000","0.5000"
"3.1380","5.5655","0.1692","0.5000","0.5000"
"3.1580","5.4453","0.1640","0.5000","0.5000"
"3.1780","5.3254","0.1597","0.5000","0.5000"
"3.1980","5.2054","0.1545","0.5000","0.5000"
"3.2180","5.0857","0.1494","0.5000","0.5000"
"3.2380","4.9657","0.1428","0.5000","0.5000"
"3.2580","4.8456","0.1388","0.5000","0.5000"
"3.2780","4.7256","0.1340","0.5000","0.5000"
"3.2980","4.6056","0.1305","0.5000","0.5000"
"3.3180","4.4857","0.1259","0.5000","0.5000"
"3.3380","4.3656","0.1213","0.5000","0.5000"
"3.3580","4.2457","0.1165","0.5000","0.5000"
"3.3780","4.1257","0.1119","0.5000","0.5000"
"3.3980","4.0055","0.1061","0.5000","0.5000"
"3.4180","3.8854","0.1023","0.5000","0.5000"
"3.4380","3.7655","0.0999","0.5000","0.5000"
"3.4580","3.6456","0.0954","0.5000","0.5000"
"3.4780","3.5257","0.0892","0.5000","0.5000"
"3.4980","3.4059","0.0845","0.5000","0.5000"
"3.5180","3.2856","0.0808","0.5000","0.5000"
"3.5380","3.1655","0.0777","0.5000","0.5000"
"3.5580","3.0456","0.0742","0.5000","0.5000"
"3.5780","2.9256","0.0703","0.5000","0.5000"
"3.5980","2.8056","0.0649","0.5000","0.5000"
"3.6180","2.6855","0.0589","0.5000","0.5000"
"3.6380","2.5655","0.0560","0.5000","0.5000"
"3.6580","2.4453","0.0518","0.5000","0.5000"
"3.6780","2.3255","0.0490","0.5000","0.5000"
"3.6980","2.2056","0.0437","0.5000","0.5000"
"3.7180","2.0856","0.0383","0.5000","0.5000"
"3.7380","1.9656","0.0331","0.5000","0.5000"
"3.7580","1.8456","0.0285","0.5000","0.5000"
"3.7780","1.7255","0.0240","0.5000","0.5000"
"3.7980","1.6055","0.0200","0.5000","0.5000"
"3.8180","1.4856","0.0156","0.5000","0.5000"
"3.8380","1.3657","0.0105","0.5000","0.5000"
"3.8580","1.2457","0.0046","0.5000","0.5000"
"3.8780","1.1256","-0.0015","0.5000","0.5000"
"3.8980","1.0055","-0.0056","0.5000","0.5000"
"3.9180","0.8855","-0.0101","0.5000","0.5000"
"3.9380","0.7654","-0.0127","0.5000","0.5000"
"3.9580","0.6456","-0.0156","0.5000","0.5000"
"3.9780","0.5257","-0.0183","0.5000","0.5000"
"3.9980","0.4056","-0.0207","0.5000","0.5000"
"4.0180","0.2855","-0.0199","0.5000","0.5000"
"4.0380","0.1653","-0.0204","0.5000","0.5000"
"4.0580","0.0455","-0.0199","0.5000","0.5000"
"4.0660","-0.0024","-0.0205","1.0000","1.0000"
"4.0670","-0.0084","-0.0205","1.0000","1.0000"
"4.0680","-0.0144","-0.0206","1.0000","1.0000"
"4.0880","-0.0447","0.0726","1.0000","1.0000"
"4.1080","0.0763","0.1188","1.0000","1.0000"
"4.1280","0.1785","0.0171","1.0000","1.0000"
"4.1480","0.3046","0.0086","1.0000","1.0000"
"4.1680","0.4292","-0.0225","1.0000","1.0000"
"4.1880","0.5507","-0.0092","1.0000","1.0000"
"4.2080","0.6718","-0.0155","1.0000","1.0000"
"4.2280","0.7926","0.0084","1.0000","1.0000"
"4.2480","0.9130","0.0038","1.0000","1.0000"
"4.2680","1.0333","0.0280","1.0000","1.0000"
"4.2880","1.1537","0.0282","1.0000","1.0000"
"4.3080","1.2741","0.0486","1.0000","1.0000"
"4.3280","1.3942","0.0485","1.0000","1.0000"
"4.3480","1.5143","0.0677","1.0000","1.0000"
"4.3680","1.6341","0.0680","1.0000","1.0000"
"4.3880","1.7543","0.0850","1.0000","1.0000"
"4.4080","1.8743","0.0832","1.0000","1.0000"
"4.4280","1.9944","0.0990","1.0000","1.0000"
"4.4480","2.1144","0.0973","1.0000","1.0000"
"4.4680","2.2344","0.1102","1.0000","1.0000"
"4.4880","2.3543","0.1107","1.0000","1.0000"
"4.5080","2.4742","0.1226","1.0000","1.0000"
"4.5280","2.5940","0.1229","1.0000","1.0000"
"4.5480","2.7142","0.1340","1.0000","1.0000"
"4.5680","2.8342","0.1334","1.0000","1.0000"
"4.5880","2.9540","0.1435","1.0000","1.0000"
"4.6080","3.0741","0.1441","1.0000","1.0000"
"4.6280","3.1940","0.1546","1.0000","1.0000"
