Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0003","0.0000","0.0000"
"0.0220","0.0000","0.0004","0.0000","0.0000"
"0.0420","0.0425","0.0455","0.0000","0.0000"
"0.0620","0.1541","0.0608","0.0000","0.0000"
"0.0820","0.2643","0.0260","0.0000","0.0000"
"0.1020","0.3926","0.0280","0.0000","0.0000"
"0.1220","0.5170","0.0064","0.0000","0.0000"
"0.1420","0.6386","0.0179","0.0000","0.0000"
"0.1620","0.7599","0.0178","0.0000","0.0000"
"0.1820","0.8810","0.0371","0.0000","0.0000"
"0.2020","1.0015","0.0355","0.0000","0.0000"
"0.2220","1.1217","0.0557","0.0000","0.0000"
"0.2420","1.2419","0.0587","0.0000","0.0000"
"0.2620","1.3619","0.0772","0.0000","0.0000"
"0.2820","1.4821","0.0809","0.0000","0.0000"
"0.3020","1.6025","0.0961","0.0000","0.0000"
"0.3220","1.7224","0.0994","0.0000","0.0000"
"0.3420","1.8424","0.1132","0.0000","0.0000"
"0.3620","1.9624","0.1152","0.0000","0.0000"
"0.3820","2.0824","0.1287","0.0000","0.0000"
"0.4020","2.2023","0.1307","0.0000","0.0000"
"0.4220","2.3226","0.1423","0.0000","0.0000"
"0.4420","2.4426","0.1423","0.0000","0.0000"
"0.4620","2.5625","0.1517","0.0000","0.0000"
"0.4820","2.6824","0.1555","0.0000","0.0000"
"0.5020","2.8023","0.1646","0.0000","0.0000"
"0.5220","2.9221","0.1656","0.0000","0.0000"
"0.5420","3.0422","0.1742","0.0000","0.0000"
"0.5620","3.1623","0.1759","0.0000","0.0000"
"0.5820","3.2822","0.1831","0.0000","0.0000"
"0.6020","3.4021","0.1835","0.0000","0.0000"
"0.6220","3.5221","0.1912","0.0000","0.0000"
"0.6420","3.6421","0.1951","0.0000","0.0000"
"0.6620","3.7623","0.2012","0.0000","0.0000"
"0.6820","3.8824","0.2020","0.0000","0.0000"
"0.7020","4.0024","0.2094","0.0000","0.0000"
"0.7220","4.1223","0.2123","0.0000","0.0000"
"0.7420","4.2422","0.2180","0.0000","0.0000"
"0.7620","4.3623","0.2193","0.0000","0.0000"
"0.7820","4.4823","0.2259","0.0000","0.0000"
"0.8020","4.6024","0.2289","0.0000","0.0000"
"0.8220","4.7223","0.2333","0.0000","0.0000"
"0.8420","4.8421","0.2353","0.0000","0.0000"
"0.8620","4.9620","0.2410","0.0000","0.0000"
"0.8820","5.0819","0.2442","0.0000","0.0000"
"0.9020","5.2021","0.2495","0.0000","0.0000"
"0.9220","5.3223","0.2518","0.0000","0.0000"
"0.9420","5.4424","0.2567","0.0000","0.0000"
"0.9620","5.5621","0.2594","0.0000","0.0000"
"0.9820","5.6821","0.2645","0.0000","0.0000"
"1.0020","5.8021","0.2675","0.0000","0.0000"
"1.0220","5.9222","0.2723","0.0000","0.0000"
"1.0420","6.0424","0.2759","0.0000","0.0000"
"1.0620","6.1623","0.2800","0.0000","0.0000"
"1.0820","6.2821","0.2829","0.0000","0.0000"
"1.1020","6.4021","0.2885","0.0000","0.0000"
"1.1220","6.5222","0.2938","0.0000","0.0000"
"1.1420","6.6422","0.2968","0.0000","0.0000"
"1.1620","6.7624","0.2987","0.0000","0.0000"
"1.1820","6.8825","0.3048","0.0000","0.0000"
"1.2020","7.0024","0.3090","0.0000","0.0000"
"1.2220","7.1223","0.3124","0.0000","0.0000"
"1.2420","7.2422","0.3163","0.0000","0.0000"
"1.2620","7.3624","0.3223","0.0000","0.0000"
"1.2820","7.4824","0.3260","0.0000","0.0000"
"1.3020","7.6024","0.3296","0.0000","0.0000"
"1.3220","7.7223","0.3321","0.0000","0.0000"
"1.3420","7.8420","0.3383","0.0000","0.0000"
"1.3620","7.9619","0.3433","0.0000","0.0000"
"1.3820","8.0820","0.3484","0.0000","0.0000"
"1.4020","8.2020","0.3531","0.0000","0.0000"
"1.4220","8.3221","0.3571","0.0000","0.0000"
"1.4420","8.4423","0.3619","0.0000","0.0000"
"1.4620","8.5621","0.3653","0.0000","0.0000"
"1.4820","8.6821","0.3701","0.0000","0.0000"
"1.5020","8.8023","0.3755","0.0000","0.0000"
"1.5220","8.9223","0.3804","0.0000","0.0000"
"1.5420","9.0424","0.3845","0.0000","0.0000"
"1.5620","9.1624","0.3877","0.0000","0.0000"
"1.5820","9.2822","0.3934","0.0000","0.0000"
"1.6020","9.4021","0.4001","0.0000","0.0000"
"1.6220","9.5221","0.4040","0.0000","0.0000"
"1.6420","9.6422","0.4088","0.0000","0.0000"
"1.6620","9.7622","0.4155","0.0000","0.0000"
"1.6820","9.8822","0.4206","0.0000","0.0000"
"1.7020","10.0019","0.4229","0.0000","0.0000"
"1.7220","10.1220","0.4286","0.0000","0.0000"
"1.7420","10.2421","0.4354","0.0000","0.0000"
"1.7620","10.3622","0.4420","0.0000","0.0000"
"1.7820","10.4823","0.4449","0.0000","0.0000"
"1.8020","10.6023","0.4509","0.0000","0.0000"
"1.8220","10.7223","0.4569","0.0000","0.0000"
"1.8420","10.8421","0.4634","0.0000","0.0000"
"1.8620","10.9621","0.4664","0.0000","0.0000"
"1.8820","11.0821","0.4729","0.0000","0.0000"
"1.9020","11.2021","0.4800","0.0000","0.0000"
"1.9220","11.3222","0.4896","0.0000","0.0000"
"1.9420","11.4422","0.4924","0.0000","0.0000"
"1.9620","11.5621","0.4972","0.0000","0.0000"
"1.9820","11.6820","0.5013","0.0000","0.0000"
"2.0020","11.8022","0.5084","0.0000","0.0000"
"2.0220","11.9224","0.5126","0.0000","0.0000"
"2.0420","12.0426","0.5213","0.0000","0.0000"
"2.0620","12.1627","0.5290","0.0000","0.0000"
"2.0820","12.2824","0.5359","0.0000","0.0000"
"2.1020","12.4023","0.5395","0.0000","0.0000"
"2.1220","12.5223","0.5453","0.0000","0.0000"
"2.1420","12.6422","0.5498","0.0000","0.0000"
"2.1620","12.7623","0.5580","0.0000","0.0000"
"2.1820","12.8823","0.5642","0.0000","0.0000"
"2.2020","13.0022","0.5729","0.0000","0.0000"
"2.2220","13.1221","0.5776","0.0000","0.0000"
"2.2420","13.2419","0.5819","0.0000","0.0000"
"2.2620","13.3619","0.5849","0.0000","0.0000"
"2.2820","13.4821","0.5895","0.0000","0.0000"
"2.3020","13.6022","0.5952","0.0000","0.0000"
"2.3220","13.7222","0.6030","0.0000","0.0000"
"2.3420","13.8421","0.6102","0.0000","0.0000"
"2.3620","13.9622","0.6159","0.0000","0.0000"
"2.3820","14.0822","0.6188","0.0000","0.0000"
"2.4020","14.2023","0.6157","0.0000","0.0000"
"2.4220","14.3223","0.6127","0.0000","0.0000"
"2.4420","14.4424","0.6153","0.0000","0.0000"
"2.4620","14.5623","0.6226","0.0000","0.0000"
"2.4820","14.6821","0.6284","0.0000","0.0000"
"2.5020","14.8021","0.6295","0.0000","0.0000"
"2.5220","14.9219","0.6322","0.0000","0.0000"
"2.5360","15.0059","0.6345","0.5000","0.5000"
"2.5370","15.0119","0.6349","0.5000","0.5000"
"2.5380","15.0179","0.6352","0.5000","0.5000"
"2.5580","15.0485","0.5464","0.5000","0.5000"
"2.5780","14.9338","0.4997","0.5000","0.5000"
"2.5980","14.8294","0.5853","0.5000","0.5000"
"2.6180","14.7011","0.5843","0.5000","0.5000"
"2.6380","14.5761","0.6081","0.5000","0.5000"
"2.6580","14.4543","0.5807","0.5000","0.5000"
"2.6780","14.3328","0.5806","0.5000","0.5000"
"2.6980","14.2118","0.5534","0.5000","0.5000"
"2.7180","14.0910","0.5580","0.5000","0.5000"
"2.7380","13.9706","0.5332","0.5000","0.5000"
"2.7580","13.8504","0.5351","0.5000","0.5000"
"2.7780","13.7305","0.5135","0.5000","0.5000"
"2.7980","13.6104","0.5136","0.5000","0.5000"
"2.8180","13.4902","0.4927","0.5000","0.5000"
"2.8380","13.3702","0.4944","0.5000","0.5000"
"2.8580","13.2499","0.4772","0.5000","0.5000"
"2.8780","13.1299","0.4778","0.5000","0.5000"
"2.8980","13.0100","0.4586","0.5000","0.5000"
"2.9180","12.8899","0.4579","0.5000","0.5000"
"2.9380","12.7699","0.4429","0.5000","0.5000"
"2.9580","12.6499","0.4415","0.5000","0.5000"
"2.9780","12.5297","0.4258","0.5000","0.5000"
"2.9980","12.4096","0.4241","0.5000","0.5000"
"3.0180","12.2898","0.4118","0.5000","0.5000"
"3.0380","12.1699","0.4095","0.5000","0.5000"
"3.0580","12.0499","0.3949","0.5000","0.5000"
"3.0780","11.9299","0.3921","0.5000","0.5000"
"3.0980","11.8097","0.3813","0.5000","0.5000"
"3.1180","11.6898","0.3786","0.5000","0.5000"
"3.1380","11.5698","0.3672","0.5000","0.5000"
"3.1580","11.4498","0.3633","0.5000","0.5000"
"3.1780","11.3298","0.3539","0.5000","0.5000"
"3.1980","11.2097","0.3500","0.5000","0.5000"
"3.2180","11.0897","0.3391","0.5000","0.5000"
"3.2380","10.9696","0.3369","0.5000","0.5000"
"3.2580","10.8495","0.3286","0.5000","0.5000"
"3.2780","10.7297","0.3241","0.5000","0.5000"
"3.2980","10.6098","0.3152","0.5000","0.5000"
"3.3180","10.4899","0.3103","0.5000","0.5000"
"3.3380","10.3699","0.3034","0.5000","0.5000"
"3.3580","10.2499","0.2986","0.5000","0.5000"
"3.3780","10.1299","0.2913","0.5000","0.5000"
"3.3980","10.0101","0.2874","0.5000","0.5000"
"3.4180","9.8902","0.2806","0.5000","0.5000"
"3.4380","9.7701","0.2747","0.5000","0.5000"
"3.4580","9.6500","0.2684","0.5000","0.5000"
"3.4780","9.5298","0.2639","0.5000","0.5000"
"3.4980","9.4098","0.2595","0.5000","0.5000"
"3.5180","9.2898","0.2542","0.5000","0.5000"
"3.5380","9.1699","0.2474","0.5000","0.5000"
"3.5580","9.0500","0.2426","0.5000","0.5000"
"3.5780","8.9299","0.2372","0.5000","0.5000"
"3.5980","8.8098","0.2322","0.5000","0.5000"
"3.6180","8.6898","0.2282","0.5000","0.5000"
"3.6380","8.5699","0.2231","0.5000","0.5000"
"3.6580","8.4501","0.2193","0.5000","0.5000"
"3.6780","8.3301","0.2130","0.5000","0.5000"
"3.6980","8.2099","0.2081","0.5000","0.5000"
"3.7180","8.0897","0.2035","0.5000","0.5000"
"3.7380","7.9697","0.2006","0.5000","0.5000"
"3.7580","7.8497","0.1960","0.5000","0.5000"
"3.7780","7.7299","0.1914","0.5000","0.5000"
"3.7980","7.6100","0.1859","0.5000","0.5000"
"3.8180","7.4900","0.1825","0.5000","0.5000"
"3.8380","7.3698","0.1769","0.5000","0.5000"
"3.8580","7.2496","0.1734","0.5000","0.5000"
"3.8780","7.1297","0.1690","0.5000","0.5000"
"3.8980","7.0099","0.1667","0.5000","0.5000"
"3.9180","6.8900","0.1611","0.5000","0.5000"
"3.9380","6.7701","0.1571","0.5000","0.5000"
"3.9580","6.6499","0.1521","0.5000","0.5000"
"3.9780","6.5297","0.1506","0.5000","0.5000"
"3.9980","6.4098","0.1448","0.5000","0.5000"
"4.0180","6.2897","0.1417","0.5000","0.5000"
"4.0380","6.1699","0.1373","0.5000","0.5000"
"4.0580","6.0499","0.1350","0.5000","0.5000"
"4.0780","5.9298","0.1299","0.5000","0.5000"
"4.0980","5.8096","0.1265","0.5000","0.5000"
"4.1180","5.6897","0.1224","0.5000","0.5000"
"4.1380","5.5698","0.1200","0.5000","0.5000"
"4.1580","5.4499","0.1151","0.5000","0.5000"
"4.1780","5.3301","0.1115","0.5000","0.5000"
"4.1980","5.2100","0.1072","0.5000","0.5000"
"4.2180","5.0899","0.1047","0.5000","0.5000"
"4.2380","4.9698","0.0997","0.5000","0.5000"
"4.2580","4.8498","0.0974","0.5000","0.5000"
"4.2780","4.7300","0.0935","0.5000","0.5000"
"4.2980","4.6100","0.0904","0.5000","0.5000"
"4.3180","4.4900","0.0852","0.5000","0.5000"
"4.3380","4.3698","0.0830","0.5000","0.5000"
"4.3580","4.2497","0.0795","0.5000","0.5000"
"4.3780","4.1298","0.0769","0.5000","0.5000"
"4.3980","4.0099","0.0719","0.5000","0.5000"
"4.4180","3.8902","0.0690","0.5000","0.5000"
"4.4380","3.7701","0.0653","0.5000","0.5000"
"4.4580","3.6502","0.0620","0.5000","0.5000"
"4.4780","3.5297","0.0574","0.5000","0.5000"
"4.4980","3.4098","0.0554","0.5000","0.5000"
"4.5180","3.2900","0.0516","0.5000","0.5000"
"4.5380","3.1700","0.0478","0.5000","0.5000"
"4.5580","3.0500","0.0425","0.5000","0.5000"
"4.5780","2.9297","0.0392","0.5000","0.5000"
"4.5980","2.8097","0.0360","0.5000","0.5000"
"4.6180","2.6897","0.0337","0.5000","0.5000"
"4.6380","2.5699","0.0285","0.5000","0.5000"
"4.6580","2.4499","0.0251","0.5000","0.5000"
"4.6780","2.3299","0.0210","0.5000","0.5000"
"4.6980","2.2099","0.0172","0.5000","0.5000"
