Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000","0.0000","0.0000"
"0.0280","0.0000","0.0012","0.0000","0.0000"
"0.0480","0.0161","0.0166","0.0000","0.0000"
"0.0680","0.0706","0.0482","0.0000","0.0000"
"0.0880","0.1203","0.0578","0.0000","0.0000"
"0.1080","0.1852","0.1008","0.0000","0.0000"
"0.1280","0.2491","0.1200","0.0000","0.0000"
"0.1480","0.3111","0.1522","0.0000","0.0000"
"0.1680","0.3725","0.1702","0.0000","0.0000"
"0.1880","0.4335","0.1960","0.0000","0.0000"
"0.2080","0.4940","0.2057","0.0000","0.0000"
"0.2280","0.5542","0.2269","0.0000","0.0000"
"0.2480","0.6145","0.2342","0.0000","0.0000"
"0.2680","0.6742","0.2498","0.0000","0.0000"
"0.2880","0.7342","0.2540","0.0000","0.0000"
"0.3080","0.7943","0.2687","0.0000","0.0000"
"0.3280","0.8543","0.2731","0.0000","0.0000"
"0.3480","0.9144","0.2841","0.0000","0.0000"
"0.3680","0.9744","0.2866","0.0000","0.0000"
"0.3880","1.0346","0.2978","0.0000","0.0000"
"0.4080","1.0948","0.2998","0.0000","0.0000"
"0.4280","1.1549","0.3087","0.0000","0.0000"
"0.4480","1.2147","0.3105","0.0000","0.0000"
"0.4680","1.2745","0.3183","0.0000","0.0000"
"0.4880","1.3345","0.3214","0.0000","0.0000"
"0.5080","1.3946","0.3281","0.0000","0.0000"
"0.5280","1.4545","0.3296","0.0000","0.0000"
"0.5480","1.5143","0.3368","0.0000","0.0000"
"0.5680","1.5744","0.3389","0.0000","0.0000"
"0.5880","1.6345","0.3451","0.0000","0.0000"
"0.6080","1.6944","0.3466","0.0000","0.0000"
"0.6280","1.7545","0.3522","0.0000","0.0000"
"0.6480","1.8144","0.3549","0.0000","0.0000"
"0.6680","1.8743","0.3597","0.0000","0.0000"
"0.6880","1.9344","0.3615","0.0000","0.0000"
"0.7080","1.9945","0.3660","0.0000","0.0000"
"0.7100","2.0005","0.3660","0.5000","0.5000"
"0.7110","2.0035","0.3660","0.5000","0.5000"
"0.7120","2.0065","0.3660","0.5000","0.5000"
"0.7320","2.0220","0.3237","0.5000","0.5000"
"0.7520","1.9662","0.3005","0.5000","0.5000"
"0.7720","1.9155","0.3386","0.5000","0.5000"
"0.7920","1.8512","0.3332","0.5000","0.5000"
"0.8120","1.7880","0.3415","0.5000","0.5000"
"0.8320","1.7265","0.3264","0.5000","0.5000"
"0.8520","1.6653","0.3226","0.5000","0.5000"
"0.8720","1.6046","0.3049","0.5000","0.5000"
"0.8920","1.5444","0.3027","0.5000","0.5000"
"0.9120","1.4840","0.2842","0.5000","0.5000"
"0.9320","1.4236","0.2816","0.5000","0.5000"
"0.9520","1.3634","0.2668","0.5000","0.5000"
"0.9720","1.3032","0.2625","0.5000","0.5000"
"0.9920","1.2431","0.2466","0.5000","0.5000"
"1.0120","1.1831","0.2411","0.5000","0.5000"
"1.0320","1.1229","0.2273","0.5000","0.5000"
"1.0520","1.0629","0.2217","0.5000","0.5000"
"1.0720","1.0029","0.2067","0.5000","0.5000"
"1.0920","0.9429","0.2009","0.5000","0.5000"
"1.1120","0.8829","0.1863","0.5000","0.5000"
"1.1320","0.8229","0.1789","0.5000","0.5000"
"1.1520","0.7631","0.1639","0.5000","0.5000"
"1.1720","0.7030","0.1557","0.5000","0.5000"
"1.1920","0.6430","0.1402","0.5000","0.5000"
"1.2120","0.5831","0.1317","0.5000","0.5000"
"1.2320","0.5232","0.1141","0.5000","0.5000"
"1.2520","0.4631","0.1040","0.5000","0.5000"
"1.2720","0.4031","0.0861","0.5000","0.5000"
"1.2920","0.3431","0.0733","0.5000","0.5000"
"1.3120","0.2830","0.0533","0.5000","0.5000"
"1.3320","0.2231","0.0373","0.5000","0.5000"
"1.3520","0.1630","0.0149","0.5000","0.5000"
"1.3720","0.1030","-0.0039","0.5000","0.5000"
"1.3920","0.0431","-0.0294","0.5000","0.5000"
"1.4070","-0.0020","-0.0425","1.0000","1.0000"
"1.4080","-0.0051","-0.0433","1.0000","1.0000"
"1.4090","-0.0081","-0.0442","1.0000","1.0000"
"1.4290","-0.0233","-0.0145","1.0000","1.0000"
"1.4490","0.0318","0.0085","1.0000","1.0000"
"1.4690","0.0823","-0.0268","1.0000","1.0000"
"1.4890","0.1467","-0.0024","1.0000","1.0000"
"1.5090","0.2101","0.0118","1.0000","1.0000"
"1.5290","0.2720","0.0549","1.0000","1.0000"
"1.5490","0.3332","0.0776","1.0000","1.0000"
"1.5690","0.3940","0.1136","1.0000","1.0000"
"1.5890","0.4544","0.1257","1.0000","1.0000"
"1.6090","0.5148","0.1531","1.0000","1.0000"
"1.6290","0.5751","0.1607","1.0000","1.0000"
"1.6490","0.6352","0.1822","1.0000","1.0000"
"1.6690","0.6953","0.1898","1.0000","1.0000"
"1.6890","0.7553","0.2074","1.0000","1.0000"
"1.7090","0.8156","0.2126","1.0000","1.0000"
"1.7290","0.8758","0.2283","1.0000","1.0000"
"1.7490","0.9357","0.2335","1.0000","1.0000"
"1.7690","0.9958","0.2480","1.0000","1.0000"
"1.7890","1.0560","0.2518","1.0000","1.0000"
"1.8090","1.1159","0.2644","1.0000","1.0000"
"1.8290","1.1759","0.2696","1.0000","1.0000"
"1.8490","1.2359","0.2800","1.0000","1.0000"
"1.8690","1.2957","0.2838","1.0000","1.0000"
"1.8890","1.3557","0.2935","1.0000","1.0000"
"1.9090","1.4157","0.2979","1.0000","1.0000"
"1.9290","1.4756","0.3065","1.0000","1.0000"
"1.9490","1.5356","0.3108","1.0000","1.0000"
"1.9690","1.5957","0.3194","1.0000","1.0000"
"1.9890","1.6558","0.3232","1.0000","1.0000"
"2.0090","1.7157","0.3298","1.0000","1.0000"
"2.0290","1.7757","0.3341","1.0000","1.0000"
"2.0490","1.8357","0.3397","1.0000","1.0000"
"2.0690","1.8956","0.3439","1.0000","1.0000"
"2.0890","1.9558","0.3496","1.0000","1.0000"
"2.1040","2.0008","0.3521","1.5000","1.5000"
"2.1050","2.0038","0.3525","1.5000","1.5000"
"2.1060","2.0068","0.3528","1.5000","1.5000"
"2.1260","2.0221","0.3127","1.5000","1.5000"
"2.1460","1.9663","0.2911","1.5000","1.5000"
"2.1660","1.9155","0.3297","1.5000","1.5000"
"2.1860","1.8512","0.3229","1.5000","1.5000"
"2.2060","1.7881","0.3328","1.5000","1.5000"
"2.2260","1.7266","0.3183","1.5000","1.5000"
"2.2460","1.6653","0.3132","1.5000","1.5000"
"2.2660","1.6047","0.2955","1.5000","1.5000"
"2.2860","1.5446","0.2933","1.5000","1.5000"
"2.3060","1.4841","0.2769","1.5000","1.5000"
"2.3260","1.4236","0.2728","1.5000","1.5000"
"2.3460","1.3635","0.2593","1.5000","1.5000"
"2.3660","1.3034","0.2529","1.5000","1.5000"
"2.3860","1.2433","0.2397","1.5000","1.5000"
"2.4060","1.1832","0.2322","1.5000","1.5000"
"2.4260","1.1231","0.2196","1.5000","1.5000"
"2.4460","1.0630","0.2126","1.5000","1.5000"
"2.4660","1.0030","0.1996","1.5000","1.5000"
"2.4860","0.9430","0.1910","1.5000","1.5000"
"2.5060","0.8830","0.1781","1.5000","1.5000"
"2.5260","0.8229","0.1690","1.5000","1.5000"
"2.5460","0.7632","0.1570","1.5000","1.5000"
"2.5660","0.7031","0.1452","1.5000","1.5000"
"2.5860","0.6431","0.1316","1.5000","1.5000"
"2.6060","0.5832","0.1206","1.5000","1.5000"
"2.6260","0.5232","0.1063","1.5000","1.5000"
"2.6460","0.4632","0.0928","1.5000","1.5000"
"2.6660","0.4032","0.0769","1.5000","1.5000"
"2.6860","0.3431","0.0611","1.5000","1.5000"
"2.7060","0.2831","0.0443","1.5000","1.5000"
"2.7260","0.2231","0.0251","1.5000","1.5000"
"2.7460","0.1630","0.0049","1.5000","1.5000"
"2.7660","0.1031","-0.0158","1.5000","1.5000"
"2.7860","0.0432","-0.0360","1.5000","1.5000"
"2.8010","-0.0019","-0.0498","2.0000","2.0000"
"2.8020","-0.0049","-0.0506","2.0000","2.0000"
"2.8030","-0.0079","-0.0514","2.0000","2.0000"
"2.8230","-0.0230","-0.0164","2.0000","2.0000"
"2.8430","0.0320","0.0037","2.0000","2.0000"
"2.8630","0.0826","-0.0302","2.0000","2.0000"
"2.8830","0.1471","-0.0131","2.0000","2.0000"
"2.9030","0.2104","0.0003","2.0000","2.0000"
"2.9230","0.2722","0.0401","2.0000","2.0000"
"2.9430","0.3334","0.0662","2.0000","2.0000"
"2.9630","0.3941","0.0987","2.0000","2.0000"
"2.9830","0.4546","0.1141","2.0000","2.0000"
"3.0030","0.5150","0.1397","2.0000","2.0000"
"3.0230","0.5753","0.1518","2.0000","2.0000"
"3.0430","0.6354","0.1703","2.0000","2.0000"
"3.0630","0.6955","0.1801","2.0000","2.0000"
"3.0830","0.7554","0.1961","2.0000","2.0000"
"3.1030","0.8158","0.2053","2.0000","2.0000"
"3.1230","0.8760","0.2180","2.0000","2.0000"
"3.1430","0.9360","0.2255","2.0000","2.0000"
"3.1630","0.9960","0.2385","2.0000","2.0000"
"3.1830","1.0562","0.2453","2.0000","2.0000"
"3.2030","1.1161","0.2552","2.0000","2.0000"
"3.2230","1.1761","0.2619","2.0000","2.0000"
"3.2430","1.2360","0.2709","2.0000","2.0000"
"3.2630","1.2958","0.2780","2.0000","2.0000"
"3.2830","1.3557","0.2856","2.0000","2.0000"
"3.3030","1.4158","0.2911","2.0000","2.0000"
"3.3230","1.4757","0.2988","2.0000","2.0000"
"3.3430","1.5357","0.3051","2.0000","2.0000"
"3.3630","1.5959","0.3126","2.0000","2.0000"
"3.3830","1.6559","0.3178","2.0000","2.0000"
"3.4030","1.7158","0.3240","2.0000","2.0000"
"3.4230","1.7758","0.3294","2.0000","2.0000"
"3.4430","1.8359","0.3341","2.0000","2.0000"
"3.4630","1.8959","0.3393","2.0000","2.0000"
"3.4830","1.9560","0.3459","2.0000","2.0000"
"3.4980","2.0010","0.3493","2.5000","2.5000"
"3.4990","2.0040","0.3495","2.5000","2.5000"
"3.5000","2.0070","0.3496","2.5000","2.5000"
"3.5200","2.0225","0.3081","2.5000","2.5000"
"3.5400","1.9667","0.2870","2.5000","2.5000"
"3.5600","1.9160","0.3258","2.5000","2.5000"
"3.5800","1.8517","0.3215","2.5000","2.5000"
"3.6000","1.7886","0.3289","2.5000","2.5000"
"3.6200","1.7271","0.3142","2.5000","2.5000"
"3.6400","1.6658","0.3091","2.5000","2.5000"
"3.6600","1.6052","0.2926","2.5000","2.5000"
"3.6800","1.5450","0.2893","2.5000","2.5000"
"3.7000","1.4845","0.2728","2.5000","2.5000"
"3.7200","1.4241","0.2690","2.5000","2.5000"
"3.7400","1.3639","0.2550","2.5000","2.5000"
"3.7600","1.3038","0.2483","2.5000","2.5000"
"3.7800","1.2437","0.2349","2.5000","2.5000"
"3.8000","1.1837","0.2289","2.5000","2.5000"
"3.8200","1.1235","0.2158","2.5000","2.5000"
"3.8400","1.0635","0.2084","2.5000","2.5000"
"3.8600","1.0035","0.1951","2.5000","2.5000"
"3.8800","0.9434","0.1884","2.5000","2.5000"
"3.9000","0.8835","0.1753","2.5000","2.5000"
"3.9200","0.8235","0.1650","2.5000","2.5000"
"3.9400","0.7635","0.1513","2.5000","2.5000"
"3.9600","0.7036","0.1417","2.5000","2.5000"
"3.9800","0.6435","0.1275","2.5000","2.5000"
"4.0000","0.5837","0.1165","2.5000","2.5000"
"4.0200","0.5237","0.1006","2.5000","2.5000"
"4.0400","0.4636","0.0884","2.5000","2.5000"
"4.0600","0.4037","0.0712","2.5000","2.5000"
"4.0800","0.3437","0.0569","2.5000","2.5000"
"4.1000","0.2836","0.0383","2.5000","2.5000"
"4.1200","0.2235","0.0207","2.5000","2.5000"
"4.1400","0.1634","-0.0011","2.5000","2.5000"
"4.1600","0.1035","-0.0202","2.5000","2.5000"
"4.1800","0.0436","-0.0405","2.5000","2.5000"
"4.1950","-0.0014","-0.0501","3.0000","3.0000"
"4.1960","-0.0044","-0.0506","3.0000","3.0000"
"4.1970","-0.0074","-0.0512","3.0000","3.0000"
"4.2170","-0.0227","-0.0170","3.0000","3.0000"
"4.2370","0.0324","0.0030","3.0000","3.0000"
"4.2570","0.0830","-0.0345","3.0000","3.0000"
"4.2770","0.1474","-0.0167","3.0000","3.0000"
"4.2970","0.2108","-0.0060","3.0000","3.0000"
"4.3170","0.2725","0.0332","3.0000","3.0000"
"4.3370","0.3338","0.0573","3.0000","3.0000"
"4.3570","0.3945","0.0929","3.0000","3.0000"
"4.3770","0.4550","0.1063","3.0000","3.0000"
"4.3970","0.5153","0.1334","3.0000","3.0000"
"4.4170","0.5756","0.1440","3.0000","3.0000"
"4.4370","0.6357","0.1659","3.0000","3.0000"
"4.4570","0.6958","0.1739","3.0000","3.0000"
