Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0004","0.0000","0.0000"
"0.0280","0.0000","0.0002","0.0000","0.0000"
"0.0480","0.0199","0.0228","0.0000","0.0000"
"0.0680","0.0736","0.0504","0.0000","0.0000"
"0.0880","0.1258","0.0701","0.0000","0.0000"
"0.1080","0.1914","0.1053","0.0000","0.0000"
"0.1280","0.2552","0.1158","0.0000","0.0000"
"0.1480","0.3169","0.1331","0.0000","0.0000"
"0.1680","0.3779","0.1404","0.0000","0.0000"
"0.1880","0.4387","0.1524","0.0000","0.0000"
"0.2080","0.4992","0.1546","0.0000","0.0000"
"0.2280","0.5590","0.1625","0.0000","0.0000"
"0.2480","0.6188","0.1647","0.0000","0.0000"
"0.2680","0.6790","0.1718","0.0000","0.0000"
"0.2880","0.7396","0.1737","0.0000","0.0000"
"0.3080","0.7997","0.1782","0.0000","0.0000"
"0.3280","0.8596","0.1803","0.0000","0.0000"
"0.3480","0.9195","0.1848","0.0000","0.0000"
"0.3680","0.9791","0.1857","0.0000","0.0000"
"0.3880","1.0385","0.1902","0.0000","0.0000"
"0.4080","1.0985","0.1929","0.0000","0.0000"
"0.4280","1.1601","0.1983","0.0000","0.0000"
"0.4480","1.2204","0.1972","0.0000","0.0000"
"0.4680","1.2801","0.2003","0.0000","0.0000"
"0.4880","1.3398","0.2035","0.0000","0.0000"
"0.5080","1.3998","0.2077","0.0000","0.0000"
"0.5280","1.4597","0.2090","0.0000","0.0000"
"0.5480","1.5196","0.2124","0.0000","0.0000"
"0.5680","1.5795","0.2145","0.0000","0.0000"
"0.5880","1.6396","0.2176","0.0000","0.0000"
"0.6080","1.6994","0.2179","0.0000","0.0000"
"0.6280","1.7591","0.2209","0.0000","0.0000"
"0.6480","1.8195","0.2237","0.0000","0.0000"
"0.6680","1.8797","0.2257","0.0000","0.0000"
"0.6880","1.9395","0.2266","0.0000","0.0000"
"0.7080","1.9996","0.2301","0.0000","0.0000"
"0.7280","2.0594","0.2313","0.0000","0.0000"
"0.7480","2.1191","0.2340","0.0000","0.0000"
"0.7680","2.1795","0.2356","0.0000","0.0000"
"0.7880","2.2396","0.2375","0.0000","0.0000"
"0.8080","2.2992","0.2387","0.0000","0.0000"
"0.8280","2.3595","0.2420","0.0000","0.0000"
"0.8480","2.4200","0.2428","0.0000","0.0000"
"0.8680","2.4799","0.2445","0.0000","0.0000"
"0.8880","2.5399","0.2456","0.0000","0.0000"
"0.9080","2.5996","0.2480","0.0000","0.0000"
"0.9280","2.6592","0.2486","0.0000","0.0000"
"0.9480","2.7185","0.2511","0.0000","0.0000"
"0.9680","2.7786","0.2528","0.0000","0.0000"
"0.9880","2.8395","0.2546","0.0000","0.0000"
"1.0080","2.8999","0.2535","0.0000","0.0000"
"1.0280","2.9597","0.2557","0.0000","0.0000"
"1.0480","3.0195","0.2564","0.0000","0.0000"
"1.0680","3.0796","0.2596","0.0000","0.0000"
"1.0880","3.1395","0.2592","0.0000","0.0000"
"1.1080","3.1994","0.2612","0.0000","0.0000"
"1.1280","3.2595","0.2618","0.0000","0.0000"
"1.1480","3.3195","0.2637","0.0000","0.0000"
"1.1680","3.3794","0.2637","0.0000","0.0000"
"1.1880","3.4395","0.2666","0.0000","0.0000"
"1.2080","3.4997","0.2667","0.0000","0.0000"
"1.2280","3.5597","0.2682","0.0000","0.0000"
"1.2480","3.6197","0.2679","0.0000","0.0000"
"1.2680","3.6795","0.2699","0.0000","0.0000"
"1.2880","3.7393","0.2709","0.0000","0.0000"
"1.3080","3.7993","0.2726","0.0000","0.0000"
"1.3280","3.8592","0.2720","0.0000","0.0000"
"1.3480","3.9193","0.2748","0.0000","0.0000"
"1.3680","3.9795","0.2760","0.0000","0.0000"
"1.3750","4.0005","0.2772","0.5000","0.5000"
"1.3760","4.0036","0.2773","0.5000","0.5000"
"1.3770","4.0066","0.2774","0.5000","0.5000"
"1.3970","4.0221","0.2309","0.5000","0.5000"
"1.4170","3.9660","0.2079","0.5000","0.5000"
"1.4370","3.9154","0.2486","0.5000","0.5000"
"1.4570","3.8511","0.2477","0.5000","0.5000"
"1.4770","3.7878","0.2579","0.5000","0.5000"
"1.4970","3.7264","0.2488","0.5000","0.5000"
"1.5170","3.6653","0.2471","0.5000","0.5000"
"1.5370","3.6046","0.2346","0.5000","0.5000"
"1.5570","3.5443","0.2346","0.5000","0.5000"
"1.5770","3.4840","0.2242","0.5000","0.5000"
"1.5970","3.4237","0.2231","0.5000","0.5000"
"1.6170","3.3634","0.2132","0.5000","0.5000"
"1.6370","3.3034","0.2111","0.5000","0.5000"
"1.6570","3.2433","0.2019","0.5000","0.5000"
"1.6770","3.1832","0.2008","0.5000","0.5000"
"1.6970","3.1232","0.1927","0.5000","0.5000"
"1.7170","3.0630","0.1900","0.5000","0.5000"
"1.7370","3.0031","0.1823","0.5000","0.5000"
"1.7570","2.9431","0.1810","0.5000","0.5000"
"1.7770","2.8831","0.1728","0.5000","0.5000"
"1.7970","2.8231","0.1689","0.5000","0.5000"
"1.8170","2.7631","0.1637","0.5000","0.5000"
"1.8370","2.7031","0.1601","0.5000","0.5000"
"1.8570","2.6430","0.1533","0.5000","0.5000"
"1.8770","2.5830","0.1495","0.5000","0.5000"
"1.8970","2.5230","0.1449","0.5000","0.5000"
"1.9170","2.4630","0.1410","0.5000","0.5000"
"1.9370","2.4031","0.1347","0.5000","0.5000"
"1.9570","2.3431","0.1305","0.5000","0.5000"
"1.9770","2.2831","0.1256","0.5000","0.5000"
"1.9970","2.2231","0.1204","0.5000","0.5000"
"2.0170","2.1630","0.1154","0.5000","0.5000"
"2.0370","2.1031","0.1108","0.5000","0.5000"
"2.0570","2.0431","0.1059","0.5000","0.5000"
"2.0770","1.9831","0.1011","0.5000","0.5000"
"2.0970","1.9230","0.0958","0.5000","0.5000"
"2.1170","1.8630","0.0904","0.5000","0.5000"
"2.1370","1.8031","0.0863","0.5000","0.5000"
"2.1570","1.7433","0.0816","0.5000","0.5000"
"2.1770","1.6833","0.0761","0.5000","0.5000"
"2.1970","1.6232","0.0702","0.5000","0.5000"
"2.2170","1.5630","0.0663","0.5000","0.5000"
"2.2370","1.5031","0.0616","0.5000","0.5000"
"2.2570","1.4430","0.0561","0.5000","0.5000"
"2.2770","1.3830","0.0508","0.5000","0.5000"
"2.2970","1.3230","0.0452","0.5000","0.5000"
"2.3170","1.2629","0.0392","0.5000","0.5000"
"2.3370","1.2031","0.0339","0.5000","0.5000"
"2.3570","1.1429","0.0277","0.5000","0.5000"
"2.3770","1.0830","0.0228","0.5000","0.5000"
"2.3970","1.0231","0.0174","0.5000","0.5000"
"2.4170","0.9630","0.0123","0.5000","0.5000"
"2.4370","0.9030","0.0066","0.5000","0.5000"
"2.4570","0.8430","-0.0003","0.5000","0.5000"
"2.4770","0.7831","-0.0076","0.5000","0.5000"
"2.4970","0.7231","-0.0137","0.5000","0.5000"
"2.5170","0.6630","-0.0211","0.5000","0.5000"
"2.5370","0.6029","-0.0276","0.5000","0.5000"
"2.5570","0.5431","-0.0354","0.5000","0.5000"
"2.5770","0.4832","-0.0443","0.5000","0.5000"
"2.5970","0.4230","-0.0535","0.5000","0.5000"
"2.6170","0.3629","-0.0626","0.5000","0.5000"
"2.6370","0.3031","-0.0737","0.5000","0.5000"
"2.6570","0.2430","-0.0869","0.5000","0.5000"
"2.6770","0.1833","-0.1004","0.5000","0.5000"
"2.6970","0.1231","-0.1167","0.5000","0.5000"
"2.7170","0.0630","-0.1360","0.5000","0.5000"
"2.7370","0.0033","-0.1611","0.5000","0.5000"
"2.7390","-0.0027","-0.1641","1.0000","1.0000"
"2.7400","-0.0057","-0.1655","1.0000","1.0000"
"2.7410","-0.0086","-0.1669","1.0000","1.0000"
"2.7610","-0.0239","-0.1458","1.0000","1.0000"
"2.7810","0.0308","-0.1257","1.0000","1.0000"
"2.8010","0.0815","-0.1404","1.0000","1.0000"
"2.8210","0.1461","-0.1061","1.0000","1.0000"
"2.8410","0.2093","-0.0843","1.0000","1.0000"
"2.8610","0.2712","-0.0486","1.0000","1.0000"
"2.8810","0.3323","-0.0302","1.0000","1.0000"
"2.9010","0.3931","-0.0061","1.0000","1.0000"
"2.9210","0.4538","0.0022","1.0000","1.0000"
"2.9410","0.5142","0.0196","1.0000","1.0000"
"2.9610","0.5744","0.0257","1.0000","1.0000"
"2.9810","0.6348","0.0409","1.0000","1.0000"
"3.0010","0.6949","0.0459","1.0000","1.0000"
"3.0210","0.7547","0.0569","1.0000","1.0000"
"3.0410","0.8148","0.0600","1.0000","1.0000"
"3.0610","0.8749","0.0693","1.0000","1.0000"
"3.0810","0.9348","0.0732","1.0000","1.0000"
"3.1010","0.9947","0.0837","1.0000","1.0000"
"3.1210","1.0548","0.0863","1.0000","1.0000"
"3.1410","1.1149","0.0936","1.0000","1.0000"
"3.1610","1.1746","0.0974","1.0000","1.0000"
"3.1810","1.2348","0.1050","1.0000","1.0000"
"3.2010","1.2953","0.1082","1.0000","1.0000"
"3.2210","1.3552","0.1129","1.0000","1.0000"
"3.2410","1.4150","0.1164","1.0000","1.0000"
"3.2610","1.4750","0.1229","1.0000","1.0000"
"3.2810","1.5348","0.1260","1.0000","1.0000"
"3.3010","1.5944","0.1322","1.0000","1.0000"
"3.3210","1.6551","0.1366","1.0000","1.0000"
"3.3410","1.7147","0.1394","1.0000","1.0000"
"3.3610","1.7744","0.1430","1.0000","1.0000"
"3.3810","1.8352","0.1485","1.0000","1.0000"
"3.4010","1.8954","0.1515","1.0000","1.0000"
"3.4210","1.9552","0.1559","1.0000","1.0000"
"3.4410","2.0151","0.1590","1.0000","1.0000"
"3.4610","2.0749","0.1623","1.0000","1.0000"
"3.4810","2.1347","0.1659","1.0000","1.0000"
"3.5010","2.1950","0.1710","1.0000","1.0000"
"3.5210","2.2549","0.1734","1.0000","1.0000"
"3.5410","2.3146","0.1770","1.0000","1.0000"
"3.5610","2.3751","0.1809","1.0000","1.0000"
"3.5810","2.4353","0.1842","1.0000","1.0000"
"3.6010","2.4952","0.1864","1.0000","1.0000"
"3.6210","2.5551","0.1903","1.0000","1.0000"
"3.6410","2.6148","0.1938","1.0000","1.0000"
"3.6610","2.6743","0.1964","1.0000","1.0000"
"3.6810","2.7340","0.1994","1.0000","1.0000"
"3.7010","2.7944","0.2026","1.0000","1.0000"
"3.7210","2.8552","0.2069","1.0000","1.0000"
"3.7410","2.9153","0.2099","1.0000","1.0000"
"3.7610","2.9751","0.2124","1.0000","1.0000"
"3.7810","3.0349","0.2161","1.0000","1.0000"
"3.8010","3.0951","0.2185","1.0000","1.0000"
"3.8210","3.1550","0.2208","1.0000","1.0000"
"3.8410","3.2147","0.2229","1.0000","1.0000"
"3.8610","3.2748","0.2267","1.0000","1.0000"
"3.8810","3.3349","0.2294","1.0000","1.0000"
"3.9010","3.3950","0.2326","1.0000","1.0000"
"3.9210","3.4550","0.2342","1.0000","1.0000"
"3.9410","3.5151","0.2385","1.0000","1.0000"
"3.9610","3.5751","0.2404","1.0000","1.0000"
"3.9810","3.6351","0.2441","1.0000","1.0000"
"4.0010","3.6952","0.2449","1.0000","1.0000"
"4.0210","3.7550","0.2479","1.0000","1.0000"
"4.0410","3.8149","0.2499","1.0000","1.0000"
"4.0610","3.8745","0.2536","1.0000","1.0000"
"4.0810","3.9345","0.2553","1.0000","1.0000"
"4.1010","3.9946","0.2594","1.0000","1.0000"
"4.1030","4.0007","0.2595","1.5000","1.5000"
"4.1040","4.0037","0.2595","1.5000","1.5000"
"4.1050","4.0067","0.2595","1.5000","1.5000"
"4.1250","4.0224","0.2144","1.5000","1.5000"
"4.1450","3.9667","0.1926","1.5000","1.5000"
"4.1650","3.9160","0.2331","1.5000","1.5000"
"4.1850","3.8516","0.2335","1.5000","1.5000"
"4.2050","3.7884","0.2453","1.5000","1.5000"
"4.2250","3.7270","0.2346","1.5000","1.5000"
"4.2450","3.6658","0.2319","1.5000","1.5000"
"4.2650","3.6051","0.2202","1.5000","1.5000"
"4.2850","3.5448","0.2206","1.5000","1.5000"
"4.3050","3.4845","0.2096","1.5000","1.5000"
"4.3250","3.4241","0.2084","1.5000","1.5000"
"4.3450","3.3639","0.1997","1.5000","1.5000"
"4.3650","3.3038","0.1973","1.5000","1.5000"
"4.3850","3.2438","0.1890","1.5000","1.5000"
"4.4050","3.1837","0.1867","1.5000","1.5000"
"4.4250","3.1236","0.1798","1.5000","1.5000"
"4.4450","3.0636","0.1778","1.5000","1.5000"
"4.4650","3.0035","0.1684","1.5000","1.5000"
"4.4850","2.9436","0.1665","1.5000","1.5000"
"4.5050","2.8837","0.1590","1.5000","1.5000"
"4.5250","2.8236","0.1558","1.5000","1.5000"
"4.5450","2.7636","0.1496","1.5000","1.5000"
"4.5650","2.7035","0.1460","1.5000","1.5000"
