Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0001"
"0.0200","0.0158","0.0159"
"0.0400","0.0684","0.0454"
"0.0600","0.1180","0.0489"
"0.0800","0.1834","0.0739"
"0.1000","0.2479","0.0751"
"0.1200","0.3101","0.0840"
"0.1400","0.3716","0.0890"
"0.1600","0.4325","0.0970"
"0.1800","0.4931","0.0975"
"0.2000","0.5535","0.1046"
"0.2200","0.6135","0.1036"
"0.2400","0.6733","0.1094"
"0.2600","0.7334","0.1091"
"0.2800","0.7935","0.1130"
"0.3000","0.8535","0.1117"
"0.3200","0.9135","0.1160"
"0.3400","0.9736","0.1151"
"0.3600","1.0336","0.1184"
"0.3800","1.0936","0.1173"
"0.4000","1.1538","0.1218"
"0.4200","1.2138","0.1197"
"0.4400","1.2739","0.1238"
"0.4600","1.3340","0.1228"
"0.4800","1.3939","0.1263"
"0.5000","1.4539","0.1244"
"0.5200","1.5139","0.1276"
"0.5400","1.5738","0.1265"
"0.5600","1.6337","0.1298"
"0.5800","1.6938","0.1284"
"0.6000","1.7537","0.1310"
"0.6200","1.8136","0.1302"
"0.6400","1.8736","0.1336"
"0.6600","1.9335","0.1324"
"0.6800","1.9935","0.1351"
"0.7000","2.0534","0.1347"
"0.7200","2.1137","0.1373"
"0.7400","2.1737","0.1357"
"0.7600","2.2337","0.1377"
"0.7800","2.2937","0.1376"
"0.8000","2.3536","0.1399"
"0.8200","2.4136","0.1389"
"0.8400","2.4737","0.1404"
"0.8600","2.5337","0.1408"
"0.8800","2.5937","0.1437"
"0.9000","2.6537","0.1438"
"0.9200","2.7138","0.1453"
"0.9400","2.7737","0.1441"
"0.9600","2.8340","0.1466"
"0.9800","2.8937","0.1456"
"1.0000","2.9538","0.1477"
"1.0200","3.0138","0.1480"
"1.0400","3.0737","0.1501"
"1.0600","3.1338","0.1498"
"1.0800","3.1938","0.1508"
"1.1000","3.2536","0.1516"
"1.1200","3.3137","0.1526"
"1.1400","3.3738","0.1531"
"1.1600","3.4335","0.1534"
"1.1800","3.4933","0.1557"
"1.2000","3.5534","0.1564"
"1.2200","3.6135","0.1568"
"1.2400","3.6734","0.1570"
"1.2600","3.7334","0.1584"
"1.2800","3.7935","0.1583"
"1.3000","3.8534","0.1597"
"1.3200","3.9136","0.1605"
"1.3400","3.9735","0.1626"
"1.3600","4.0334","0.1622"
"1.3800","4.0936","0.1641"
"1.4000","4.1537","0.1637"
"1.4200","4.2137","0.1657"
"1.4400","4.2736","0.1646"
"1.4600","4.3337","0.1672"
"1.4800","4.3937","0.1667"
"1.5000","4.4538","0.1700"
"1.5200","4.5138","0.1687"
"1.5400","4.5738","0.1709"
"1.5600","4.6337","0.1694"
"1.5800","4.6937","0.1722"
"1.6000","4.7538","0.1714"
"1.6200","4.8138","0.1749"
"1.6400","4.8738","0.1741"
"1.6600","4.9337","0.1768"
"1.6800","4.9936","0.1748"
"1.7000","5.0537","0.1783"
"1.7200","5.1137","0.1772"
"1.7400","5.1735","0.1800"
"1.7600","5.2335","0.1778"
"1.7800","5.2936","0.1806"
"1.8000","5.3535","0.1797"
"1.8200","5.4134","0.1822"
"1.8400","5.4734","0.1814"
"1.8600","5.5334","0.1843"
"1.8800","5.5935","0.1837"
"1.9000","5.6535","0.1856"
"1.9200","5.7132","0.1848"
"1.9400","5.7733","0.1885"
"1.9600","5.8337","0.1880"
"1.9800","5.8938","0.1892"
"2.0000","5.9539","0.1883"
"2.0200","6.0137","0.1905"
"2.0400","6.0736","0.1909"
"2.0600","6.1336","0.1930"
"2.0800","6.1937","0.1925"
"2.1000","6.2536","0.1947"
"2.1200","6.3134","0.1950"
"2.1400","6.3738","0.1961"
"2.1600","6.4339","0.1948"
"2.1800","6.4938","0.1964"
"2.2000","6.5538","0.1975"
"2.2200","6.6137","0.1986"
"2.2400","6.6737","0.1992"
"2.2600","6.7338","0.2010"
"2.2800","6.7938","0.2020"
