Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0005","0.0000","0.0000"
"0.0270","0.0000","-0.0005","0.0000","0.0000"
"0.0470","0.0173","0.0187","0.0000","0.0000"
"0.0670","0.0726","0.0348","0.0000","0.0000"
"0.0870","0.1242","0.0195","0.0000","0.0000"
"0.1070","0.1890","0.0280","0.0000","0.0000"
"0.1270","0.2521","0.0198","0.0000","0.0000"
"0.1470","0.3134","0.0257","0.0000","0.0000"
"0.1670","0.3745","0.0258","0.0000","0.0000"
"0.1870","0.4352","0.0350","0.0000","0.0000"
"0.2070","0.4955","0.0341","0.0000","0.0000"
"0.2270","0.5557","0.0412","0.0000","0.0000"
"0.2470","0.6158","0.0388","0.0000","0.0000"
"0.2670","0.6760","0.0457","0.0000","0.0000"
"0.2870","0.7361","0.0456","0.0000","0.0000"
"0.3070","0.7961","0.0499","0.0000","0.0000"
"0.3270","0.8561","0.0497","0.0000","0.0000"
"0.3470","0.9161","0.0542","0.0000","0.0000"
"0.3670","0.9761","0.0530","0.0000","0.0000"
"0.3870","1.0363","0.0573","0.0000","0.0000"
"0.4070","1.0962","0.0556","0.0000","0.0000"
"0.4270","1.1564","0.0607","0.0000","0.0000"
"0.4470","1.2163","0.0597","0.0000","0.0000"
"0.4670","1.2761","0.0620","0.0000","0.0000"
"0.4870","1.3361","0.0623","0.0000","0.0000"
"0.5070","1.3961","0.0664","0.0000","0.0000"
"0.5270","1.4561","0.0659","0.0000","0.0000"
"0.5470","1.5161","0.0681","0.0000","0.0000"
"0.5670","1.5760","0.0671","0.0000","0.0000"
"0.5870","1.6360","0.0706","0.0000","0.0000"
"0.6070","1.6960","0.0711","0.0000","0.0000"
"0.6270","1.7560","0.0728","0.0000","0.0000"
"0.6470","1.8162","0.0729","0.0000","0.0000"
"0.6670","1.8762","0.0756","0.0000","0.0000"
"0.6870","1.9362","0.0761","0.0000","0.0000"
"0.7070","1.9963","0.0773","0.0000","0.0000"
"0.7270","2.0563","0.0784","0.0000","0.0000"
"0.7470","2.1163","0.0807","0.0000","0.0000"
"0.7670","2.1763","0.0810","0.0000","0.0000"
"0.7870","2.2361","0.0813","0.0000","0.0000"
"0.8070","2.2962","0.0835","0.0000","0.0000"
"0.8270","2.3563","0.0845","0.0000","0.0000"
"0.8470","2.4163","0.0856","0.0000","0.0000"
"0.8670","2.4762","0.0866","0.0000","0.0000"
"0.8870","2.5363","0.0880","0.0000","0.0000"
"0.9070","2.5962","0.0889","0.0000","0.0000"
"0.9270","2.6563","0.0893","0.0000","0.0000"
"0.9470","2.7162","0.0898","0.0000","0.0000"
"0.9670","2.7761","0.0915","0.0000","0.0000"
"0.9870","2.8362","0.0930","0.0000","0.0000"
"1.0070","2.8963","0.0938","0.0000","0.0000"
"1.0270","2.9562","0.0939","0.0000","0.0000"
"1.0470","3.0162","0.0958","0.0000","0.0000"
"1.0670","3.0762","0.0972","0.0000","0.0000"
"1.0870","3.1360","0.0985","0.0000","0.0000"
"1.1070","3.1960","0.0985","0.0000","0.0000"
"1.1270","3.2562","0.0997","0.0000","0.0000"
"1.1470","3.3161","0.1011","0.0000","0.0000"
"1.1670","3.3759","0.1022","0.0000","0.0000"
"1.1870","3.4360","0.1025","0.0000","0.0000"
"1.2070","3.4961","0.1042","0.0000","0.0000"
"1.2270","3.5561","0.1051","0.0000","0.0000"
"1.2470","3.6160","0.1059","0.0000","0.0000"
"1.2670","3.6762","0.1063","0.0000","0.0000"
"1.2870","3.7360","0.1080","0.0000","0.0000"
"1.3070","3.7961","0.1091","0.0000","0.0000"
"1.3270","3.8562","0.1101","0.0000","0.0000"
"1.3470","3.9160","0.1100","0.0000","0.0000"
"1.3670","3.9761","0.1108","0.0000","0.0000"
"1.3870","4.0361","0.1125","0.0000","0.0000"
"1.4070","4.0962","0.1122","0.0000","0.0000"
"1.4270","4.1563","0.1128","0.0000","0.0000"
"1.4470","4.2162","0.1146","0.0000","0.0000"
"1.4670","4.2762","0.1157","0.0000","0.0000"
"1.4870","4.3363","0.1168","0.0000","0.0000"
"1.5070","4.3962","0.1169","0.0000","0.0000"
"1.5270","4.4562","0.1185","0.0000","0.0000"
"1.5470","4.5162","0.1197","0.0000","0.0000"
"1.5670","4.5762","0.1206","0.0000","0.0000"
"1.5870","4.6362","0.1208","0.0000","0.0000"
"1.6070","4.6962","0.1222","0.0000","0.0000"
"1.6270","4.7562","0.1239","0.0000","0.0000"
"1.6470","4.8162","0.1245","0.0000","0.0000"
"1.6670","4.8763","0.1248","0.0000","0.0000"
"1.6870","4.9362","0.1261","0.0000","0.0000"
"1.7070","4.9961","0.1274","0.0000","0.0000"
"1.7270","5.0561","0.1281","0.0000","0.0000"
"1.7470","5.1161","0.1287","0.0000","0.0000"
"1.7670","5.1761","0.1302","0.0000","0.0000"
"1.7870","5.2360","0.1315","0.0000","0.0000"
"1.8070","5.2960","0.1318","0.0000","0.0000"
"1.8270","5.3561","0.1319","0.0000","0.0000"
"1.8470","5.4160","0.1329","0.0000","0.0000"
"1.8670","5.4761","0.1342","0.0000","0.0000"
"1.8870","5.5362","0.1353","0.0000","0.0000"
"1.9070","5.5961","0.1361","0.0000","0.0000"
"1.9270","5.6562","0.1373","0.0000","0.0000"
"1.9470","5.7162","0.1384","0.0000","0.0000"
"1.9670","5.7761","0.1383","0.0000","0.0000"
"1.9870","5.8361","0.1393","0.0000","0.0000"
"2.0070","5.8962","0.1404","0.0000","0.0000"
"2.0270","5.9562","0.1421","0.0000","0.0000"
"2.0470","6.0162","0.1420","0.0000","0.0000"
"2.0670","6.0762","0.1437","0.0000","0.0000"
"2.0870","6.1363","0.1443","0.0000","0.0000"
"2.1070","6.1962","0.1459","0.0000","0.0000"
"2.1270","6.2562","0.1455","0.0000","0.0000"
"2.1470","6.3162","0.1463","0.0000","0.0000"
"2.1670","6.3762","0.1476","0.0000","0.0000"
"2.1870","6.4362","0.1497","0.0000","0.0000"
"2.2070","6.4962","0.1492","0.0000","0.0000"
"2.2270","6.5561","0.1502","0.0000","0.0000"
"2.2470","6.6160","0.1510","0.0000","0.0000"
"2.2670","6.6761","0.1530","0.0000","0.0000"
"2.2870","6.7360","0.1529","0.0000","0.0000"
"2.3070","6.7961","0.1550","0.0000","0.0000"
"2.3270","6.8562","0.1558","0.0000","0.0000"
"2.3470","6.9162","0.1577","0.0000","0.0000"
"2.3670","6.9762","0.1571","0.0000","0.0000"
"2.3870","7.0363","0.1586","0.0000","0.0000"
"2.4070","7.0963","0.1590","0.0000","0.0000"
"2.4270","7.1563","0.1608","0.0000","0.0000"
"2.4470","7.2163","0.1600","0.0000","0.0000"
"2.4670","7.2762","0.1619","0.0000","0.0000"
"2.4870","7.3363","0.1626","0.0000","0.0000"
"2.5070","7.3963","0.1641","0.0000","0.0000"
"2.5270","7.4562","0.1636","0.0000","0.0000"
"2.5470","7.5163","0.1659","0.0000","0.0000"
"2.5670","7.5763","0.1666","0.0000","0.0000"
"2.5870","7.6364","0.1682","0.0000","0.0000"
"2.6070","7.6962","0.1672","0.0000","0.0000"
"2.6270","7.7561","0.1696","0.0000","0.0000"
"2.6470","7.8161","0.1708","0.0000","0.0000"
"2.6670","7.8762","0.1718","0.0000","0.0000"
"2.6870","7.9361","0.1715","0.0000","0.0000"
"2.7070","7.9961","0.1732","0.0000","0.0000"
"2.7090","8.0020","0.1732","0.5000","0.5000"
"2.7100","8.0050","0.1732","0.5000","0.5000"
"2.7110","8.0080","0.1731","0.5000","0.5000"
"2.7310","8.0225","0.1267","0.5000","0.5000"
"2.7510","7.9665","0.1089","0.5000","0.5000"
"2.7710","7.9148","0.1521","0.5000","0.5000"
"2.7910","7.8503","0.1562","0.5000","0.5000"
"2.8110","7.7875","0.1729","0.5000","0.5000"
"2.8310","7.7262","0.1659","0.5000","0.5000"
"2.8510","7.6650","0.1700","0.5000","0.5000"
"2.8710","7.6045","0.1612","0.5000","0.5000"
"2.8910","7.5442","0.1661","0.5000","0.5000"
"2.9110","7.4838","0.1568","0.5000","0.5000"
"2.9310","7.4235","0.1601","0.5000","0.5000"
"2.9510","7.3633","0.1539","0.5000","0.5000"
"2.9710","7.3033","0.1582","0.5000","0.5000"
"2.9910","7.2433","0.1513","0.5000","0.5000"
"3.0110","7.1832","0.1537","0.5000","0.5000"
"3.0310","7.1232","0.1472","0.5000","0.5000"
"3.0510","7.0631","0.1503","0.5000","0.5000"
"3.0710","7.0031","0.1440","0.5000","0.5000"
"3.0910","6.9431","0.1466","0.5000","0.5000"
"3.1110","6.8831","0.1427","0.5000","0.5000"
"3.1310","6.8231","0.1452","0.5000","0.5000"
"3.1510","6.7632","0.1399","0.5000","0.5000"
"3.1710","6.7031","0.1407","0.5000","0.5000"
"3.1910","6.6430","0.1358","0.5000","0.5000"
"3.2110","6.5831","0.1382","0.5000","0.5000"
"3.2310","6.5231","0.1334","0.5000","0.5000"
"3.2510","6.4631","0.1343","0.5000","0.5000"
"3.2710","6.4032","0.1308","0.5000","0.5000"
"3.2910","6.3431","0.1313","0.5000","0.5000"
"3.3110","6.2831","0.1273","0.5000","0.5000"
"3.3310","6.2230","0.1278","0.5000","0.5000"
"3.3510","6.1629","0.1245","0.5000","0.5000"
"3.3710","6.1029","0.1260","0.5000","0.5000"
"3.3910","6.0430","0.1219","0.5000","0.5000"
"3.4110","5.9829","0.1225","0.5000","0.5000"
"3.4310","5.9230","0.1199","0.5000","0.5000"
"3.4510","5.8630","0.1200","0.5000","0.5000"
"3.4710","5.8030","0.1155","0.5000","0.5000"
"3.4910","5.7431","0.1153","0.5000","0.5000"
"3.5110","5.6831","0.1125","0.5000","0.5000"
"3.5310","5.6232","0.1139","0.5000","0.5000"
"3.5510","5.5631","0.1104","0.5000","0.5000"
"3.5710","5.5031","0.1103","0.5000","0.5000"
"3.5910","5.4431","0.1081","0.5000","0.5000"
"3.6110","5.3831","0.1077","0.5000","0.5000"
"3.6310","5.3230","0.1050","0.5000","0.5000"
"3.6510","5.2631","0.1043","0.5000","0.5000"
"3.6710","5.2031","0.1016","0.5000","0.5000"
"3.6910","5.1430","0.1025","0.5000","0.5000"
"3.7110","5.0832","0.0992","0.5000","0.5000"
"3.7310","5.0232","0.0992","0.5000","0.5000"
"3.7510","4.9631","0.0962","0.5000","0.5000"
"3.7710","4.9033","0.0959","0.5000","0.5000"
"3.7910","4.8431","0.0921","0.5000","0.5000"
"3.8110","4.7831","0.0925","0.5000","0.5000"
"3.8310","4.7231","0.0909","0.5000","0.5000"
"3.8510","4.6630","0.0908","0.5000","0.5000"
"3.8710","4.6030","0.0875","0.5000","0.5000"
"3.8910","4.5431","0.0871","0.5000","0.5000"
"3.9110","4.4831","0.0851","0.5000","0.5000"
"3.9310","4.4231","0.0847","0.5000","0.5000"
"3.9510","4.3631","0.0823","0.5000","0.5000"
"3.9710","4.3032","0.0813","0.5000","0.5000"
"3.9910","4.2432","0.0793","0.5000","0.5000"
"4.0110","4.1832","0.0795","0.5000","0.5000"
"4.0310","4.1232","0.0766","0.5000","0.5000"
"4.0510","4.0631","0.0761","0.5000","0.5000"
"4.0710","4.0032","0.0736","0.5000","0.5000"
"4.0910","3.9432","0.0732","0.5000","0.5000"
"4.1110","3.8835","0.0698","0.5000","0.5000"
"4.1310","3.8232","0.0693","0.5000","0.5000"
"4.1510","3.7630","0.0677","0.5000","0.5000"
"4.1710","3.7030","0.0678","0.5000","0.5000"
"4.1910","3.6430","0.0648","0.5000","0.5000"
"4.2110","3.5831","0.0639","0.5000","0.5000"
"4.2310","3.5230","0.0617","0.5000","0.5000"
"4.2510","3.4630","0.0616","0.5000","0.5000"
"4.2710","3.4031","0.0588","0.5000","0.5000"
"4.2910","3.3431","0.0585","0.5000","0.5000"
"4.3110","3.2831","0.0567","0.5000","0.5000"
"4.3310","3.2230","0.0560","0.5000","0.5000"
"4.3510","3.1629","0.0532","0.5000","0.5000"
"4.3710","3.1029","0.0519","0.5000","0.5000"
"4.3910","3.0431","0.0502","0.5000","0.5000"
"4.4110","2.9832","0.0494","0.5000","0.5000"
"4.4310","2.9232","0.0469","0.5000","0.5000"
"4.4510","2.8631","0.0465","0.5000","0.5000"
"4.4710","2.8031","0.0442","0.5000","0.5000"
"4.4910","2.7432","0.0436","0.5000","0.5000"
"4.5110","2.6831","0.0415","0.5000","0.5000"
"4.5310","2.6231","0.0410","0.5000","0.5000"
"4.5510","2.5631","0.0385","0.5000","0.5000"
"4.5710","2.5030","0.0368","0.5000","0.5000"
"4.5910","2.4431","0.0345","0.5000","0.5000"
"4.6110","2.3830","0.0332","0.5000","0.5000"
"4.6310","2.3230","0.0334","0.5000","0.5000"
"4.6510","2.2631","0.0333","0.5000","0.5000"
"4.6710","2.2030","0.0304","0.5000","0.5000"
"4.6910","2.1430","0.0278","0.5000","0.5000"
