Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0002","0.0000","0.0000"
"0.0290","0.0000","0.0003","0.0000","0.0000"
"0.0490","0.0170","0.0184","0.0000","0.0000"
"0.0690","0.0723","0.0340","0.0000","0.0000"
"0.0890","0.1236","0.0171","0.0000","0.0000"
"0.1090","0.1884","0.0254","0.0000","0.0000"
"0.1290","0.2519","0.0159","0.0000","0.0000"
"0.1490","0.3132","0.0215","0.0000","0.0000"
"0.1690","0.3740","0.0213","0.0000","0.0000"
"0.1890","0.4348","0.0322","0.0000","0.0000"
"0.2090","0.4952","0.0293","0.0000","0.0000"
"0.2290","0.5553","0.0363","0.0000","0.0000"
"0.2490","0.6154","0.0345","0.0000","0.0000"
"0.2690","0.6756","0.0415","0.0000","0.0000"
"0.2890","0.7357","0.0392","0.0000","0.0000"
"0.3090","0.7957","0.0449","0.0000","0.0000"
"0.3290","0.8557","0.0447","0.0000","0.0000"
"0.3490","0.9158","0.0494","0.0000","0.0000"
"0.3690","0.9758","0.0472","0.0000","0.0000"
"0.3890","1.0359","0.0515","0.0000","0.0000"
"0.4090","1.0959","0.0503","0.0000","0.0000"
"0.4290","1.1557","0.0556","0.0000","0.0000"
"0.4490","1.2158","0.0551","0.0000","0.0000"
"0.4690","1.2759","0.0587","0.0000","0.0000"
"0.4890","1.3358","0.0579","0.0000","0.0000"
"0.5090","1.3957","0.0609","0.0000","0.0000"
"0.5290","1.4558","0.0596","0.0000","0.0000"
"0.5490","1.5158","0.0623","0.0000","0.0000"
"0.5690","1.5758","0.0623","0.0000","0.0000"
"0.5890","1.6359","0.0655","0.0000","0.0000"
"0.6090","1.6958","0.0650","0.0000","0.0000"
"0.6290","1.7558","0.0677","0.0000","0.0000"
"0.6490","1.8160","0.0684","0.0000","0.0000"
"0.6690","1.8758","0.0708","0.0000","0.0000"
"0.6890","1.9359","0.0701","0.0000","0.0000"
"0.7090","1.9958","0.0722","0.0000","0.0000"
"0.7290","2.0556","0.0727","0.0000","0.0000"
"0.7490","2.1155","0.0758","0.0000","0.0000"
"0.7690","2.1757","0.0746","0.0000","0.0000"
"0.7890","2.2358","0.0764","0.0000","0.0000"
"0.8090","2.2957","0.0766","0.0000","0.0000"
"0.8290","2.3558","0.0790","0.0000","0.0000"
"0.8490","2.4157","0.0786","0.0000","0.0000"
"0.8690","2.4757","0.0799","0.0000","0.0000"
"0.8890","2.5357","0.0813","0.0000","0.0000"
"0.9090","2.5957","0.0837","0.0000","0.0000"
"0.9290","2.6557","0.0836","0.0000","0.0000"
"0.9490","2.7157","0.0844","0.0000","0.0000"
"0.9690","2.7757","0.0854","0.0000","0.0000"
"0.9890","2.8356","0.0874","0.0000","0.0000"
"1.0090","2.8958","0.0873","0.0000","0.0000"
"1.0290","2.9559","0.0887","0.0000","0.0000"
"1.0490","3.0159","0.0896","0.0000","0.0000"
"1.0690","3.0758","0.0912","0.0000","0.0000"
"1.0890","3.1358","0.0910","0.0000","0.0000"
"1.1090","3.1958","0.0920","0.0000","0.0000"
"1.1290","3.2558","0.0928","0.0000","0.0000"
"1.1490","3.3158","0.0941","0.0000","0.0000"
"1.1690","3.3758","0.0941","0.0000","0.0000"
"1.1890","3.4358","0.0963","0.0000","0.0000"
"1.2090","3.4959","0.0975","0.0000","0.0000"
"1.2290","3.5558","0.0987","0.0000","0.0000"
"1.2490","3.6157","0.0981","0.0000","0.0000"
"1.2690","3.6758","0.0997","0.0000","0.0000"
"1.2890","3.7359","0.1004","0.0000","0.0000"
"1.3090","3.7958","0.1015","0.0000","0.0000"
"1.3290","3.8558","0.1020","0.0000","0.0000"
"1.3490","3.9157","0.1033","0.0000","0.0000"
"1.3690","3.9757","0.1042","0.0000","0.0000"
"1.3890","4.0358","0.1054","0.0000","0.0000"
"1.4090","4.0957","0.1046","0.0000","0.0000"
"1.4290","4.1556","0.1065","0.0000","0.0000"
"1.4490","4.2157","0.1072","0.0000","0.0000"
"1.4690","4.2758","0.1090","0.0000","0.0000"
"1.4890","4.3357","0.1088","0.0000","0.0000"
"1.5090","4.3957","0.1101","0.0000","0.0000"
"1.5290","4.4557","0.1108","0.0000","0.0000"
"1.5490","4.5158","0.1113","0.0000","0.0000"
"1.5690","4.5758","0.1113","0.0000","0.0000"
"1.5890","4.6358","0.1128","0.0000","0.0000"
"1.6090","4.6957","0.1140","0.0000","0.0000"
"1.6290","4.7557","0.1146","0.0000","0.0000"
"1.6490","4.8157","0.1154","0.0000","0.0000"
"1.6690","4.8758","0.1162","0.0000","0.0000"
"1.6890","4.9357","0.1178","0.0000","0.0000"
"1.7090","4.9958","0.1183","0.0000","0.0000"
"1.7290","5.0558","0.1184","0.0000","0.0000"
"1.7490","5.1157","0.1192","0.0000","0.0000"
"1.7690","5.1757","0.1200","0.0000","0.0000"
"1.7890","5.2357","0.1208","0.0000","0.0000"
"1.8090","5.2957","0.1215","0.0000","0.0000"
"1.8290","5.3557","0.1228","0.0000","0.0000"
"1.8490","5.4156","0.1238","0.0000","0.0000"
"1.8690","5.4756","0.1244","0.0000","0.0000"
"1.8890","5.5356","0.1266","0.0000","0.0000"
"1.9090","5.5957","0.1266","0.0000","0.0000"
"1.9290","5.6557","0.1279","0.0000","0.0000"
"1.9490","5.7158","0.1283","0.0000","0.0000"
"1.9690","5.7758","0.1292","0.0000","0.0000"
"1.9890","5.8357","0.1292","0.0000","0.0000"
"2.0090","5.8958","0.1306","0.0000","0.0000"
"2.0290","5.9558","0.1314","0.0000","0.0000"
"2.0490","6.0159","0.1323","0.0000","0.0000"
"2.0690","6.0759","0.1328","0.0000","0.0000"
"2.0890","6.1360","0.1340","0.0000","0.0000"
"2.1090","6.1958","0.1335","0.0000","0.0000"
"2.1290","6.2558","0.1351","0.0000","0.0000"
"2.1490","6.3159","0.1361","0.0000","0.0000"
"2.1690","6.3758","0.1373","0.0000","0.0000"
"2.1890","6.4359","0.1375","0.0000","0.0000"
"2.2090","6.4959","0.1384","0.0000","0.0000"
"2.2290","6.5558","0.1390","0.0000","0.0000"
"2.2490","6.6156","0.1411","0.0000","0.0000"
"2.2690","6.6758","0.1410","0.0000","0.0000"
"2.2890","6.7358","0.1415","0.0000","0.0000"
"2.3090","6.7958","0.1421","0.0000","0.0000"
"2.3290","6.8557","0.1439","0.0000","0.0000"
"2.3490","6.9157","0.1440","0.0000","0.0000"
"2.3690","6.9756","0.1444","0.0000","0.0000"
"2.3890","7.0357","0.1457","0.0000","0.0000"
"2.4090","7.0957","0.1471","0.0000","0.0000"
"2.4290","7.1556","0.1482","0.0000","0.0000"
"2.4490","7.2157","0.1488","0.0000","0.0000"
"2.4690","7.2757","0.1496","0.0000","0.0000"
"2.4890","7.3356","0.1510","0.0000","0.0000"
"2.5090","7.3957","0.1511","0.0000","0.0000"
"2.5290","7.4557","0.1516","0.0000","0.0000"
"2.5490","7.5157","0.1532","0.0000","0.0000"
"2.5690","7.5758","0.1539","0.0000","0.0000"
"2.5890","7.6358","0.1540","0.0000","0.0000"
"2.6090","7.6957","0.1548","0.0000","0.0000"
"2.6290","7.7557","0.1558","0.0000","0.0000"
"2.6490","7.8158","0.1565","0.0000","0.0000"
"2.6690","7.8757","0.1566","0.0000","0.0000"
"2.6890","7.9358","0.1581","0.0000","0.0000"
"2.7090","7.9959","0.1594","0.0000","0.0000"
"2.7290","8.0558","0.1609","0.0000","0.0000"
"2.7490","8.1158","0.1609","0.0000","0.0000"
"2.7690","8.1759","0.1614","0.0000","0.0000"
"2.7890","8.2358","0.1623","0.0000","0.0000"
"2.8090","8.2957","0.1629","0.0000","0.0000"
"2.8290","8.3559","0.1635","0.0000","0.0000"
"2.8490","8.4158","0.1651","0.0000","0.0000"
"2.8690","8.4757","0.1663","0.0000","0.0000"
"2.8890","8.5358","0.1667","0.0000","0.0000"
"2.9090","8.5957","0.1667","0.0000","0.0000"
"2.9290","8.6557","0.1687","0.0000","0.0000"
"2.9490","8.7158","0.1704","0.0000","0.0000"
"2.9690","8.7758","0.1706","0.0000","0.0000"
"2.9890","8.8357","0.1717","0.0000","0.0000"
"3.0090","8.8957","0.1720","0.0000","0.0000"
"3.0290","8.9557","0.1727","0.0000","0.0000"
"3.0490","9.0157","0.1733","0.0000","0.0000"
"3.0690","9.0757","0.1742","0.0000","0.0000"
"3.0890","9.1356","0.1749","0.0000","0.0000"
"3.1090","9.1956","0.1765","0.0000","0.0000"
"3.1290","9.2557","0.1773","0.0000","0.0000"
"3.1490","9.3158","0.1779","0.0000","0.0000"
"3.1690","9.3757","0.1779","0.0000","0.0000"
"3.1890","9.4358","0.1800","0.0000","0.0000"
"3.2090","9.4959","0.1802","0.0000","0.0000"
"3.2290","9.5558","0.1805","0.0000","0.0000"
"3.2490","9.6157","0.1821","0.0000","0.0000"
"3.2690","9.6758","0.1844","0.0000","0.0000"
"3.2890","9.7356","0.1842","0.0000","0.0000"
"3.3090","9.7957","0.1847","0.0000","0.0000"
"3.3290","9.8558","0.1845","0.0000","0.0000"
"3.3490","9.9156","0.1867","0.0000","0.0000"
"3.3690","9.9756","0.1871","0.0000","0.0000"
"3.3890","10.0357","0.1887","0.0000","0.0000"
"3.4090","10.0957","0.1881","0.0000","0.0000"
"3.4290","10.1556","0.1903","0.0000","0.0000"
"3.4490","10.2157","0.1909","0.0000","0.0000"
"3.4690","10.2757","0.1926","0.0000","0.0000"
"3.4890","10.3356","0.1927","0.0000","0.0000"
"3.5090","10.3956","0.1944","0.0000","0.0000"
"3.5290","10.4557","0.1932","0.0000","0.0000"
"3.5490","10.5157","0.1945","0.0000","0.0000"
"3.5690","10.5757","0.1957","0.0000","0.0000"
"3.5890","10.6357","0.1980","0.0000","0.0000"
"3.6090","10.6956","0.1968","0.0000","0.0000"
"3.6290","10.7556","0.1981","0.0000","0.0000"
"3.6490","10.8158","0.1993","0.0000","0.0000"
"3.6690","10.8758","0.2018","0.0000","0.0000"
"3.6890","10.9358","0.2016","0.0000","0.0000"
"3.7090","10.9959","0.2031","0.0000","0.0000"
"3.7290","11.0559","0.2029","0.0000","0.0000"
"3.7490","11.1158","0.2052","0.0000","0.0000"
"3.7690","11.1758","0.2054","0.0000","0.0000"
"3.7890","11.2358","0.2070","0.0000","0.0000"
"3.8090","11.2959","0.2072","0.0000","0.0000"
"3.8290","11.3560","0.2096","0.0000","0.0000"
"3.8490","11.4158","0.2092","0.0000","0.0000"
"3.8690","11.4759","0.2112","0.0000","0.0000"
"3.8890","11.5359","0.2111","0.0000","0.0000"
"3.9090","11.5958","0.2132","0.0000","0.0000"
"3.9290","11.6557","0.2123","0.0000","0.0000"
"3.9490","11.7157","0.2143","0.0000","0.0000"
"3.9690","11.7757","0.2142","0.0000","0.0000"
"3.9890","11.8357","0.2168","0.0000","0.0000"
"4.0090","11.8957","0.2163","0.0000","0.0000"
"4.0290","11.9557","0.2187","0.0000","0.0000"
"4.0440","12.0007","0.2186","0.5000","0.5000"
"4.0450","12.0037","0.2185","0.5000","0.5000"
"4.0460","12.0068","0.2185","0.5000","0.5000"
"4.0660","12.0215","0.1735","0.5000","0.5000"
"4.0860","11.9661","0.1534","0.5000","0.5000"
"4.1060","11.9142","0.1968","0.5000","0.5000"
"4.1260","11.8497","0.2000","0.5000","0.5000"
"4.1460","11.7867","0.2186","0.5000","0.5000"
"4.1660","11.7252","0.2103","0.5000","0.5000"
"4.1860","11.6642","0.2144","0.5000","0.5000"
"4.2060","11.6035","0.2030","0.5000","0.5000"
"4.2260","11.5430","0.2099","0.5000","0.5000"
"4.2460","11.4829","0.1989","0.5000","0.5000"
"4.2660","11.4227","0.2043","0.5000","0.5000"
"4.2860","11.3626","0.1966","0.5000","0.5000"
"4.3060","11.3025","0.2010","0.5000","0.5000"
"4.3260","11.2424","0.1925","0.5000","0.5000"
"4.3460","11.1822","0.1956","0.5000","0.5000"
"4.3660","11.1222","0.1904","0.5000","0.5000"
"4.3860","11.0622","0.1932","0.5000","0.5000"
"4.4060","11.0023","0.1858","0.5000","0.5000"
"4.4260","10.9423","0.1892","0.5000","0.5000"
"4.4460","10.8821","0.1837","0.5000","0.5000"
"4.4660","10.8221","0.1854","0.5000","0.5000"
"4.4860","10.7621","0.1802","0.5000","0.5000"
"4.5060","10.7020","0.1812","0.5000","0.5000"
"4.5260","10.6421","0.1776","0.5000","0.5000"
"4.5460","10.5820","0.1789","0.5000","0.5000"
"4.5660","10.5221","0.1740","0.5000","0.5000"
"4.5860","10.4621","0.1752","0.5000","0.5000"
"4.6060","10.4020","0.1712","0.5000","0.5000"
"4.6260","10.3420","0.1721","0.5000","0.5000"
"4.6460","10.2821","0.1681","0.5000","0.5000"
"4.6660","10.2220","0.1681","0.5000","0.5000"
"4.6860","10.1621","0.1665","0.5000","0.5000"
"4.7060","10.1020","0.1661","0.5000","0.5000"
