Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0003","0.0000","0.0000"
"0.0290","0.0000","-0.0002","0.0000","0.0000"
"0.0490","0.0383","0.0407","0.0000","0.0000"
"0.0690","0.1510","0.0666","0.0000","0.0000"
"0.0890","0.2598","0.0348","0.0000","0.0000"
"0.1090","0.3878","0.0402","0.0000","0.0000"
"0.1290","0.5120","0.0186","0.0000","0.0000"
"0.1490","0.6335","0.0276","0.0000","0.0000"
"0.1690","0.7547","0.0263","0.0000","0.0000"
"0.1890","0.8757","0.0392","0.0000","0.0000"
"0.2090","0.9965","0.0332","0.0000","0.0000"
"0.2290","1.1171","0.0431","0.0000","0.0000"
"0.2490","1.2373","0.0374","0.0000","0.0000"
"0.2690","1.3572","0.0457","0.0000","0.0000"
"0.2890","1.4774","0.0430","0.0000","0.0000"
"0.3090","1.5975","0.0503","0.0000","0.0000"
"0.3290","1.7176","0.0468","0.0000","0.0000"
"0.3490","1.8378","0.0529","0.0000","0.0000"
"0.3690","1.9576","0.0486","0.0000","0.0000"
"0.3890","2.0776","0.0559","0.0000","0.0000"
"0.4090","2.1975","0.0534","0.0000","0.0000"
"0.4290","2.3175","0.0606","0.0000","0.0000"
"0.4490","2.4374","0.0573","0.0000","0.0000"
"0.4690","2.5574","0.0617","0.0000","0.0000"
"0.4890","2.6774","0.0605","0.0000","0.0000"
"0.5090","2.7973","0.0653","0.0000","0.0000"
"0.5290","2.9172","0.0637","0.0000","0.0000"
"0.5490","3.0373","0.0690","0.0000","0.0000"
"0.5690","3.1573","0.0688","0.0000","0.0000"
"0.5890","3.2774","0.0716","0.0000","0.0000"
"0.6090","3.3975","0.0709","0.0000","0.0000"
"0.6290","3.5175","0.0733","0.0000","0.0000"
"0.6490","3.6373","0.0745","0.0000","0.0000"
"0.6690","3.7573","0.0780","0.0000","0.0000"
"0.6890","3.8773","0.0780","0.0000","0.0000"
"0.7090","3.9974","0.0812","0.0000","0.0000"
"0.7100","4.0034","0.0812","0.5000","0.5000"
"0.7110","4.0094","0.0811","0.5000","0.5000"
"0.7120","4.0154","0.0811","0.5000","0.5000"
"0.7320","4.0458","-0.0119","0.5000","0.5000"
"0.7520","3.9237","-0.0588","0.5000","0.5000"
"0.7720","3.8209","0.0441","0.5000","0.5000"
"0.7920","3.6955","0.0549","0.5000","0.5000"
"0.8120","3.5714","0.0849","0.5000","0.5000"
"0.8320","3.4503","0.0723","0.5000","0.5000"
"0.8520","3.3292","0.0789","0.5000","0.5000"
"0.8720","3.2085","0.0623","0.5000","0.5000"
"0.8920","3.0879","0.0734","0.5000","0.5000"
"0.9120","2.9676","0.0577","0.5000","0.5000"
"0.9320","2.8473","0.0669","0.5000","0.5000"
"0.9520","2.7272","0.0567","0.5000","0.5000"
"0.9720","2.6072","0.0622","0.5000","0.5000"
"0.9920","2.4871","0.0514","0.5000","0.5000"
"1.0120","2.3669","0.0563","0.5000","0.5000"
"1.0320","2.2467","0.0479","0.5000","0.5000"
"1.0520","2.1269","0.0542","0.5000","0.5000"
"1.0720","2.0070","0.0439","0.5000","0.5000"
"1.0920","1.8870","0.0479","0.5000","0.5000"
"1.1120","1.7670","0.0398","0.5000","0.5000"
"1.1320","1.6468","0.0413","0.5000","0.5000"
"1.1520","1.5267","0.0369","0.5000","0.5000"
"1.1720","1.4069","0.0391","0.5000","0.5000"
"1.1920","1.2870","0.0312","0.5000","0.5000"
"1.2120","1.1670","0.0321","0.5000","0.5000"
"1.2320","1.0469","0.0262","0.5000","0.5000"
"1.2520","0.9268","0.0271","0.5000","0.5000"
"1.2720","0.8067","0.0215","0.5000","0.5000"
"1.2920","0.6868","0.0228","0.5000","0.5000"
"1.3120","0.5668","0.0166","0.5000","0.5000"
"1.3320","0.4469","0.0139","0.5000","0.5000"
"1.3520","0.3269","0.0068","0.5000","0.5000"
"1.3720","0.2068","0.0043","0.5000","0.5000"
"1.3920","0.0868","-0.0051","0.5000","0.5000"
"1.4070","-0.0032","-0.0097","1.0000","1.0000"
"1.4080","-0.0092","-0.0099","1.0000","1.0000"
"1.4090","-0.0152","-0.0102","1.0000","1.0000"
"1.4290","-0.0459","0.0680","1.0000","1.0000"
"1.4490","0.0749","0.1131","1.0000","1.0000"
"1.4690","0.1773","0.0193","1.0000","1.0000"
"1.4890","0.3032","0.0212","1.0000","1.0000"
"1.5090","0.4278","-0.0047","1.0000","1.0000"
"1.5290","0.5492","0.0127","1.0000","1.0000"
"1.5490","0.6703","0.0057","1.0000","1.0000"
"1.5690","0.7912","0.0282","1.0000","1.0000"
"1.5890","0.9117","0.0162","1.0000","1.0000"
"1.6090","1.0322","0.0341","1.0000","1.0000"
"1.6290","1.1527","0.0234","1.0000","1.0000"
"1.6490","1.2727","0.0356","1.0000","1.0000"
"1.6690","1.3928","0.0288","1.0000","1.0000"
"1.6890","1.5129","0.0425","1.0000","1.0000"
"1.7090","1.6330","0.0350","1.0000","1.0000"
"1.7290","1.7531","0.0464","1.0000","1.0000"
"1.7490","1.8732","0.0376","1.0000","1.0000"
"1.7690","1.9930","0.0493","1.0000","1.0000"
"1.7890","2.1130","0.0431","1.0000","1.0000"
"1.8090","2.2329","0.0520","1.0000","1.0000"
"1.8290","2.3529","0.0492","1.0000","1.0000"
"1.8490","2.4728","0.0569","1.0000","1.0000"
"1.8690","2.5930","0.0526","1.0000","1.0000"
"1.8890","2.7129","0.0604","1.0000","1.0000"
"1.9090","2.8327","0.0563","1.0000","1.0000"
"1.9290","2.9525","0.0644","1.0000","1.0000"
"1.9490","3.0728","0.0607","1.0000","1.0000"
"1.9690","3.1928","0.0678","1.0000","1.0000"
"1.9890","3.3130","0.0650","1.0000","1.0000"
"2.0090","3.4331","0.0704","1.0000","1.0000"
"2.0290","3.5529","0.0682","1.0000","1.0000"
"2.0490","3.6728","0.0746","1.0000","1.0000"
"2.0690","3.7929","0.0721","1.0000","1.0000"
"2.0890","3.9129","0.0798","1.0000","1.0000"
"2.1040","4.0030","0.0772","1.5000","1.5000"
"2.1050","4.0090","0.0770","1.5000","1.5000"
"2.1060","4.0150","0.0769","1.5000","1.5000"
"2.1260","4.0453","-0.0116","1.5000","1.5000"
"2.1460","3.9235","-0.0630","1.5000","1.5000"
"2.1660","3.8206","0.0439","1.5000","1.5000"
"2.1860","3.6950","0.0501","1.5000","1.5000"
"2.2060","3.5709","0.0856","1.5000","1.5000"
"2.2260","3.4498","0.0686","1.5000","1.5000"
"2.2460","3.3287","0.0791","1.5000","1.5000"
"2.2660","3.2079","0.0579","1.5000","1.5000"
"2.2860","3.0873","0.0728","1.5000","1.5000"
"2.3060","2.9671","0.0554","1.5000","1.5000"
"2.3260","2.8469","0.0665","1.5000","1.5000"
"2.3460","2.7267","0.0530","1.5000","1.5000"
"2.3660","2.6066","0.0618","1.5000","1.5000"
"2.3860","2.4865","0.0482","1.5000","1.5000"
"2.4060","2.3664","0.0565","1.5000","1.5000"
"2.4260","2.2463","0.0453","1.5000","1.5000"
"2.4460","2.1264","0.0535","1.5000","1.5000"
"2.4660","2.0065","0.0402","1.5000","1.5000"
"2.4860","1.8865","0.0467","1.5000","1.5000"
"2.5060","1.7664","0.0368","1.5000","1.5000"
"2.5260","1.6462","0.0412","1.5000","1.5000"
"2.5460","1.5262","0.0334","1.5000","1.5000"
"2.5660","1.4063","0.0375","1.5000","1.5000"
"2.5860","1.2864","0.0285","1.5000","1.5000"
"2.6060","1.1664","0.0310","1.5000","1.5000"
"2.6260","1.0463","0.0231","1.5000","1.5000"
"2.6460","0.9263","0.0254","1.5000","1.5000"
"2.6660","0.8061","0.0175","1.5000","1.5000"
"2.6860","0.6862","0.0195","1.5000","1.5000"
"2.7060","0.5663","0.0129","1.5000","1.5000"
"2.7260","0.4464","0.0115","1.5000","1.5000"
"2.7460","0.3264","0.0028","1.5000","1.5000"
"2.7660","0.2063","0.0015","1.5000","1.5000"
"2.7860","0.0862","-0.0094","1.5000","1.5000"
"2.8010","-0.0038","-0.0125","2.0000","2.0000"
"2.8020","-0.0098","-0.0130","2.0000","2.0000"
"2.8030","-0.0158","-0.0136","2.0000","2.0000"
"2.8230","-0.0466","0.0624","2.0000","2.0000"
"2.8430","0.0748","0.1099","2.0000","2.0000"
"2.8630","0.1769","0.0127","2.0000","2.0000"
"2.8830","0.3027","0.0170","2.0000","2.0000"
"2.9030","0.4273","-0.0092","2.0000","2.0000"
"2.9230","0.5487","0.0102","2.0000","2.0000"
"2.9430","0.6699","0.0024","2.0000","2.0000"
"2.9630","0.7907","0.0257","2.0000","2.0000"
"2.9830","0.9111","0.0134","2.0000","2.0000"
"3.0030","1.0316","0.0316","2.0000","2.0000"
"3.0230","1.1521","0.0211","2.0000","2.0000"
"3.0430","1.2721","0.0341","2.0000","2.0000"
"3.0630","1.3921","0.0266","2.0000","2.0000"
"3.0830","1.5123","0.0397","2.0000","2.0000"
"3.1030","1.6323","0.0334","2.0000","2.0000"
"3.1230","1.7524","0.0437","2.0000","2.0000"
"3.1430","1.8725","0.0364","2.0000","2.0000"
"3.1630","1.9924","0.0469","2.0000","2.0000"
"3.1830","2.1125","0.0424","2.0000","2.0000"
"3.2030","2.2323","0.0503","2.0000","2.0000"
"3.2230","2.3523","0.0475","2.0000","2.0000"
"3.2430","2.4722","0.0543","2.0000","2.0000"
"3.2630","2.5924","0.0518","2.0000","2.0000"
"3.2830","2.7123","0.0583","2.0000","2.0000"
"3.3030","2.8322","0.0555","2.0000","2.0000"
"3.3230","2.9520","0.0620","2.0000","2.0000"
"3.3430","3.0720","0.0607","2.0000","2.0000"
"3.3630","3.1922","0.0658","2.0000","2.0000"
"3.3830","3.3126","0.0639","2.0000","2.0000"
"3.4030","3.4325","0.0669","2.0000","2.0000"
"3.4230","3.5524","0.0682","2.0000","2.0000"
"3.4430","3.6721","0.0719","2.0000","2.0000"
"3.4630","3.7923","0.0721","2.0000","2.0000"
"3.4830","3.9123","0.0763","2.0000","2.0000"
"3.4980","4.0024","0.0765","2.5000","2.5000"
"3.4990","4.0085","0.0766","2.5000","2.5000"
"3.5000","4.0145","0.0768","2.5000","2.5000"
"3.5200","4.0445","-0.0140","2.5000","2.5000"
"3.5400","3.9229","-0.0625","2.5000","2.5000"
"3.5600","3.8196","0.0421","2.5000","2.5000"
"3.5800","3.6943","0.0516","2.5000","2.5000"
"3.6000","3.5703","0.0831","2.5000","2.5000"
"3.6200","3.4490","0.0694","2.5000","2.5000"
"3.6400","3.3280","0.0772","2.5000","2.5000"
"3.6600","3.2072","0.0591","2.5000","2.5000"
"3.6800","3.0866","0.0710","2.5000","2.5000"
"3.7000","2.9663","0.0562","2.5000","2.5000"
"3.7200","2.8462","0.0644","2.5000","2.5000"
"3.7400","2.7260","0.0533","2.5000","2.5000"
"3.7600","2.6058","0.0580","2.5000","2.5000"
"3.7800","2.4858","0.0484","2.5000","2.5000"
"3.8000","2.3658","0.0538","2.5000","2.5000"
"3.8200","2.2455","0.0460","2.5000","2.5000"
"3.8400","2.1256","0.0506","2.5000","2.5000"
"3.8600","2.0056","0.0408","2.5000","2.5000"
"3.8800","1.8857","0.0442","2.5000","2.5000"
"3.9000","1.7656","0.0377","2.5000","2.5000"
"3.9200","1.6455","0.0388","2.5000","2.5000"
"3.9400","1.5255","0.0333","2.5000","2.5000"
"3.9600","1.4055","0.0352","2.5000","2.5000"
"3.9800","1.2856","0.0284","2.5000","2.5000"
"4.0000","1.1657","0.0291","2.5000","2.5000"
"4.0200","1.0457","0.0228","2.5000","2.5000"
"4.0400","0.9256","0.0232","2.5000","2.5000"
"4.0600","0.8055","0.0175","2.5000","2.5000"
"4.0800","0.6856","0.0170","2.5000","2.5000"
"4.1000","0.5655","0.0118","2.5000","2.5000"
"4.1200","0.4457","0.0088","2.5000","2.5000"
"4.1400","0.3257","0.0018","2.5000","2.5000"
"4.1600","0.2057","-0.0015","2.5000","2.5000"
"4.1800","0.0856","-0.0119","2.5000","2.5000"
"4.1950","-0.0046","-0.0169","3.0000","3.0000"
"4.1960","-0.0106","-0.0173","3.0000","3.0000"
"4.1970","-0.0166","-0.0177","3.0000","3.0000"
"4.2170","-0.0473","0.0602","3.0000","3.0000"
"4.2370","0.0740","0.1051","3.0000","3.0000"
"4.2570","0.1760","0.0101","3.0000","3.0000"
"4.2770","0.3020","0.0130","3.0000","3.0000"
"4.2970","0.4266","-0.0113","3.0000","3.0000"
"4.3170","0.5479","0.0073","3.0000","3.0000"
"4.3370","0.6691","0.0017","3.0000","3.0000"
"4.3570","0.7899","0.0236","3.0000","3.0000"
"4.3770","0.9104","0.0119","3.0000","3.0000"
"4.3970","1.0308","0.0286","3.0000","3.0000"
"4.4170","1.1513","0.0192","3.0000","3.0000"
"4.4370","1.2714","0.0324","3.0000","3.0000"
"4.4570","1.3915","0.0258","3.0000","3.0000"
