Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0004","0.0000","0.0000"
"0.0250","0.0000","-0.0006","0.0000","0.0000"
"0.0450","0.0162","0.0173","0.0000","0.0000"
"0.0650","0.0716","0.0358","0.0000","0.0000"
"0.0850","0.1215","0.0179","0.0000","0.0000"
"0.1050","0.1876","0.0274","0.0000","0.0000"
"0.1250","0.2511","0.0155","0.0000","0.0000"
"0.1450","0.3124","0.0209","0.0000","0.0000"
"0.1650","0.3732","0.0200","0.0000","0.0000"
"0.1850","0.4338","0.0290","0.0000","0.0000"
"0.2050","0.4942","0.0282","0.0000","0.0000"
"0.2250","0.5541","0.0358","0.0000","0.0000"
"0.2450","0.6143","0.0336","0.0000","0.0000"
"0.2650","0.6743","0.0398","0.0000","0.0000"
"0.2850","0.7343","0.0388","0.0000","0.0000"
"0.3050","0.7943","0.0437","0.0000","0.0000"
"0.3250","0.8548","0.0432","0.0000","0.0000"
"0.3450","0.9149","0.0471","0.0000","0.0000"
"0.3650","0.9748","0.0468","0.0000","0.0000"
"0.3850","1.0348","0.0516","0.0000","0.0000"
"0.4050","1.0946","0.0502","0.0000","0.0000"
"0.4250","1.1542","0.0553","0.0000","0.0000"
"0.4450","1.2147","0.0558","0.0000","0.0000"
"0.4650","1.2744","0.0570","0.0000","0.0000"
"0.4850","1.3339","0.0577","0.0000","0.0000"
"0.5050","1.3947","0.0627","0.0000","0.0000"
"0.5250","1.4551","0.0623","0.0000","0.0000"
"0.5450","1.5147","0.0645","0.0000","0.0000"
"0.5650","1.5748","0.0645","0.0000","0.0000"
"0.5850","1.6349","0.0676","0.0000","0.0000"
"0.6050","1.6949","0.0686","0.0000","0.0000"
"0.6250","1.7547","0.0701","0.0000","0.0000"
"0.6450","1.8140","0.0703","0.0000","0.0000"
"0.6650","1.8739","0.0710","0.0000","0.0000"
"0.6850","1.9347","0.0629","0.0000","0.0000"
"0.7050","1.9953","0.0581","0.0000","0.0000"
"0.7250","2.0551","0.0564","0.0000","0.0000"
"0.7450","2.1149","0.0591","0.0000","0.0000"
"0.7650","2.1749","0.0611","0.0000","0.0000"
"0.7850","2.2346","0.0627","0.0000","0.0000"
"0.8050","2.2948","0.0645","0.0000","0.0000"
"0.8250","2.3543","0.0656","0.0000","0.0000"
"0.8450","2.4140","0.0674","0.0000","0.0000"
"0.8650","2.4744","0.0687","0.0000","0.0000"
"0.8850","2.5352","0.0688","0.0000","0.0000"
"0.9050","2.5951","0.0694","0.0000","0.0000"
"0.9250","2.6549","0.0712","0.0000","0.0000"
"0.9450","2.7149","0.0723","0.0000","0.0000"
"0.9650","2.7745","0.0729","0.0000","0.0000"
"0.9850","2.8345","0.0750","0.0000","0.0000"
"1.0050","2.8946","0.0766","0.0000","0.0000"
"1.0250","2.9539","0.0767","0.0000","0.0000"
"1.0450","3.0139","0.0788","0.0000","0.0000"
"1.0650","3.0747","0.0801","0.0000","0.0000"
"1.0850","3.1350","0.0804","0.0000","0.0000"
"1.1050","3.1947","0.0803","0.0000","0.0000"
"1.1250","3.2547","0.0827","0.0000","0.0000"
"1.1450","3.3148","0.0836","0.0000","0.0000"
"1.1650","3.3742","0.0849","0.0000","0.0000"
"1.1850","3.4342","0.0858","0.0000","0.0000"
"1.2050","3.4946","0.0875","0.0000","0.0000"
"1.2250","3.5551","0.0892","0.0000","0.0000"
"1.2450","3.6151","0.0900","0.0000","0.0000"
"1.2650","3.6750","0.0904","0.0000","0.0000"
"1.2850","3.7349","0.0911","0.0000","0.0000"
"1.3050","3.7948","0.0925","0.0000","0.0000"
"1.3250","3.8546","0.0937","0.0000","0.0000"
"1.3450","3.9148","0.0942","0.0000","0.0000"
"1.3650","3.9748","0.0949","0.0000","0.0000"
"1.3850","4.0347","0.0960","0.0000","0.0000"
"1.4050","4.0947","0.0980","0.0000","0.0000"
"1.4250","4.1546","0.0980","0.0000","0.0000"
"1.4450","4.2145","0.0989","0.0000","0.0000"
"1.4650","4.2745","0.1000","0.0000","0.0000"
"1.4850","4.3346","0.1011","0.0000","0.0000"
"1.5050","4.3948","0.1026","0.0000","0.0000"
"1.5250","4.4548","0.1030","0.0000","0.0000"
"1.5450","4.5147","0.1042","0.0000","0.0000"
"1.5650","4.5748","0.1049","0.0000","0.0000"
"1.5850","4.6350","0.1054","0.0000","0.0000"
"1.6050","4.6948","0.1058","0.0000","0.0000"
"1.6250","4.7547","0.1083","0.0000","0.0000"
"1.6450","4.8147","0.1087","0.0000","0.0000"
"1.6650","4.8745","0.1090","0.0000","0.0000"
"1.6850","4.9345","0.1095","0.0000","0.0000"
"1.7050","4.9946","0.1116","0.0000","0.0000"
"1.7250","5.0546","0.1132","0.0000","0.0000"
"1.7450","5.1143","0.1141","0.0000","0.0000"
"1.7650","5.1743","0.1145","0.0000","0.0000"
"1.7850","5.2345","0.1161","0.0000","0.0000"
"1.8050","5.2947","0.1165","0.0000","0.0000"
"1.8250","5.3547","0.1171","0.0000","0.0000"
"1.8450","5.4146","0.1171","0.0000","0.0000"
"1.8650","5.4747","0.1187","0.0000","0.0000"
"1.8850","5.5348","0.1190","0.0000","0.0000"
"1.9050","5.5947","0.1201","0.0000","0.0000"
"1.9250","5.6546","0.1214","0.0000","0.0000"
"1.9450","5.7146","0.1235","0.0000","0.0000"
"1.9650","5.7746","0.1236","0.0000","0.0000"
"1.9850","5.8346","0.1242","0.0000","0.0000"
"2.0050","5.8946","0.1251","0.0000","0.0000"
"2.0250","5.9549","0.1277","0.0000","0.0000"
"2.0450","6.0148","0.1270","0.0000","0.0000"
"2.0650","6.0747","0.1285","0.0000","0.0000"
"2.0850","6.1348","0.1286","0.0000","0.0000"
"2.1050","6.1947","0.1298","0.0000","0.0000"
"2.1250","6.2546","0.1293","0.0000","0.0000"
"2.1450","6.3146","0.1310","0.0000","0.0000"
"2.1650","6.3744","0.1316","0.0000","0.0000"
"2.1850","6.4344","0.1336","0.0000","0.0000"
"2.2050","6.4945","0.1335","0.0000","0.0000"
"2.2250","6.5544","0.1353","0.0000","0.0000"
"2.2450","6.6145","0.1366","0.0000","0.0000"
"2.2650","6.6747","0.1380","0.0000","0.0000"
"2.2850","6.7346","0.1370","0.0000","0.0000"
"2.3050","6.7947","0.1389","0.0000","0.0000"
"2.3250","6.8548","0.1396","0.0000","0.0000"
"2.3450","6.9148","0.1415","0.0000","0.0000"
"2.3650","6.9749","0.1410","0.0000","0.0000"
"2.3850","7.0350","0.1419","0.0000","0.0000"
"2.4050","7.0950","0.1420","0.0000","0.0000"
"2.4250","7.1548","0.1446","0.0000","0.0000"
"2.4450","7.2148","0.1446","0.0000","0.0000"
"2.4650","7.2748","0.1453","0.0000","0.0000"
"2.4850","7.3348","0.1456","0.0000","0.0000"
"2.5050","7.3948","0.1478","0.0000","0.0000"
"2.5250","7.4549","0.1478","0.0000","0.0000"
"2.5450","7.5147","0.1492","0.0000","0.0000"
"2.5650","7.5746","0.1492","0.0000","0.0000"
"2.5850","7.6348","0.1514","0.0000","0.0000"
"2.6050","7.6946","0.1500","0.0000","0.0000"
"2.6250","7.7545","0.1524","0.0000","0.0000"
"2.6450","7.8146","0.1530","0.0000","0.0000"
"2.6650","7.8744","0.1555","0.0000","0.0000"
"2.6850","7.9344","0.1549","0.0000","0.0000"
"2.7050","7.9946","0.1565","0.0000","0.0000"
"2.7070","8.0006","0.1565","0.5000","0.5000"
"2.7080","8.0036","0.1564","0.5000","0.5000"
"2.7090","8.0066","0.1564","0.5000","0.5000"
"2.7290","8.0216","0.1101","0.5000","0.5000"
"2.7490","7.9663","0.0923","0.5000","0.5000"
"2.7690","7.9147","0.1363","0.5000","0.5000"
"2.7890","7.8498","0.1389","0.5000","0.5000"
"2.8090","7.7868","0.1574","0.5000","0.5000"
"2.8290","7.7255","0.1502","0.5000","0.5000"
"2.8490","7.6644","0.1540","0.5000","0.5000"
"2.8690","7.6037","0.1443","0.5000","0.5000"
"2.8890","7.5433","0.1510","0.5000","0.5000"
"2.9090","7.4828","0.1413","0.5000","0.5000"
"2.9290","7.4227","0.1465","0.5000","0.5000"
"2.9490","7.3626","0.1385","0.5000","0.5000"
"2.9690","7.3024","0.1432","0.5000","0.5000"
"2.9890","7.2423","0.1377","0.5000","0.5000"
"3.0090","7.1824","0.1399","0.5000","0.5000"
"3.0290","7.1224","0.1337","0.5000","0.5000"
"3.0490","7.0624","0.1377","0.5000","0.5000"
"3.0690","7.0025","0.1315","0.5000","0.5000"
"3.0890","6.9424","0.1341","0.5000","0.5000"
"3.1090","6.8823","0.1282","0.5000","0.5000"
"3.1290","6.8222","0.1310","0.5000","0.5000"
"3.1490","6.7623","0.1269","0.5000","0.5000"
"3.1690","6.7023","0.1284","0.5000","0.5000"
"3.1890","6.6423","0.1233","0.5000","0.5000"
"3.2090","6.5823","0.1255","0.5000","0.5000"
"3.2290","6.5222","0.1209","0.5000","0.5000"
"3.2490","6.4621","0.1228","0.5000","0.5000"
"3.2690","6.4023","0.1182","0.5000","0.5000"
"3.2890","6.3422","0.1204","0.5000","0.5000"
"3.3090","6.2822","0.1167","0.5000","0.5000"
"3.3290","6.2223","0.1165","0.5000","0.5000"
"3.3490","6.1622","0.1135","0.5000","0.5000"
"3.3690","6.1022","0.1150","0.5000","0.5000"
"3.3890","6.0421","0.1110","0.5000","0.5000"
"3.4090","5.9820","0.1109","0.5000","0.5000"
"3.4290","5.9221","0.1085","0.5000","0.5000"
"3.4490","5.8622","0.1093","0.5000","0.5000"
"3.4690","5.8021","0.1056","0.5000","0.5000"
"3.4890","5.7422","0.1058","0.5000","0.5000"
"3.5090","5.6822","0.1034","0.5000","0.5000"
"3.5290","5.6223","0.1049","0.5000","0.5000"
"3.5490","5.5623","0.1009","0.5000","0.5000"
"3.5690","5.5023","0.1003","0.5000","0.5000"
"3.5890","5.4424","0.0974","0.5000","0.5000"
"3.6090","5.3823","0.0993","0.5000","0.5000"
"3.6290","5.3224","0.0967","0.5000","0.5000"
"3.6490","5.2623","0.0953","0.5000","0.5000"
"3.6690","5.2022","0.0933","0.5000","0.5000"
"3.6890","5.1422","0.0935","0.5000","0.5000"
"3.7090","5.0823","0.0909","0.5000","0.5000"
"3.7290","5.0222","0.0906","0.5000","0.5000"
"3.7490","4.9623","0.0888","0.5000","0.5000"
"3.7690","4.9024","0.0890","0.5000","0.5000"
"3.7890","4.8424","0.0860","0.5000","0.5000"
"3.8090","4.7823","0.0852","0.5000","0.5000"
"3.8290","4.7224","0.0830","0.5000","0.5000"
"3.8490","4.6622","0.0827","0.5000","0.5000"
"3.8690","4.6021","0.0803","0.5000","0.5000"
"3.8890","4.5421","0.0791","0.5000","0.5000"
"3.9090","4.4821","0.0773","0.5000","0.5000"
"3.9290","4.4221","0.0781","0.5000","0.5000"
"3.9490","4.3623","0.0753","0.5000","0.5000"
"3.9690","4.3022","0.0739","0.5000","0.5000"
"3.9890","4.2422","0.0725","0.5000","0.5000"
"4.0090","4.1823","0.0728","0.5000","0.5000"
"4.0290","4.1223","0.0698","0.5000","0.5000"
"4.0490","4.0623","0.0684","0.5000","0.5000"
"4.0690","4.0023","0.0672","0.5000","0.5000"
"4.0890","3.9423","0.0671","0.5000","0.5000"
"4.1090","3.8823","0.0639","0.5000","0.5000"
"4.1290","3.8223","0.0640","0.5000","0.5000"
"4.1490","3.7623","0.0619","0.5000","0.5000"
"4.1690","3.7022","0.0621","0.5000","0.5000"
"4.1890","3.6425","0.0585","0.5000","0.5000"
"4.2090","3.5824","0.0572","0.5000","0.5000"
"4.2290","3.5222","0.0558","0.5000","0.5000"
"4.2490","3.4621","0.0573","0.5000","0.5000"
"4.2690","3.4023","0.0537","0.5000","0.5000"
"4.2890","3.3423","0.0530","0.5000","0.5000"
"4.3090","3.2822","0.0503","0.5000","0.5000"
"4.3290","3.2223","0.0505","0.5000","0.5000"
"4.3490","3.1623","0.0467","0.5000","0.5000"
"4.3690","3.1023","0.0465","0.5000","0.5000"
"4.3890","3.0423","0.0444","0.5000","0.5000"
"4.4090","2.9821","0.0445","0.5000","0.5000"
"4.4290","2.9221","0.0414","0.5000","0.5000"
"4.4490","2.8623","0.0413","0.5000","0.5000"
"4.4690","2.8024","0.0391","0.5000","0.5000"
"4.4890","2.7423","0.0388","0.5000","0.5000"
"4.5090","2.6823","0.0354","0.5000","0.5000"
"4.5290","2.6224","0.0345","0.5000","0.5000"
"4.5490","2.5623","0.0323","0.5000","0.5000"
"4.5690","2.5022","0.0325","0.5000","0.5000"
"4.5890","2.4422","0.0300","0.5000","0.5000"
"4.6090","2.3823","0.0285","0.5000","0.5000"
"4.6290","2.3222","0.0268","0.5000","0.5000"
"4.6490","2.2623","0.0265","0.5000","0.5000"
"4.6690","2.2025","0.0241","0.5000","0.5000"
"4.6890","2.1424","0.0227","0.5000","0.5000"
