Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0059"
"0.0200","0.0175","0.0245"
"0.0400","0.0716","0.0826"
"0.0600","0.1214","0.1528"
"0.0800","0.1863","0.2523"
"0.1000","0.2504","0.3090"
"0.1200","0.3125","0.3519"
"0.1400","0.3738","0.3699"
"0.1600","0.4344","0.3900"
"0.1800","0.4951","0.3971"
"0.2000","0.5556","0.4113"
"0.2200","0.6158","0.4153"
"0.2400","0.6759","0.4263"
"0.2600","0.7360","0.4312"
"0.2800","0.7960","0.4412"
"0.3000","0.8559","0.4439"
"0.3200","0.9160","0.4539"
"0.3400","0.9760","0.4571"
"0.3600","1.0360","0.4639"
"0.3800","1.0961","0.4664"
"0.4000","1.1561","0.4752"
"0.4200","1.2162","0.4783"
"0.4400","1.2763","0.4827"
"0.4600","1.3362","0.4844"
"0.4800","1.3961","0.4917"
"0.5000","1.4561","0.4948"
"0.5200","1.5161","0.5005"
"0.5400","1.5760","0.5027"
"0.5600","1.6361","0.5081"
"0.5800","1.6961","0.5095"
"0.6000","1.7559","0.5136"
"0.6200","1.8159","0.5173"
"0.6400","1.8761","0.5232"
"0.6600","1.9360","0.5247"
"0.6800","1.9960","0.5286"
"0.7000","2.0559","0.5307"
"0.7200","2.1160","0.5339"
"0.7400","2.1761","0.5348"
"0.7600","2.2360","0.5395"
"0.7800","2.2960","0.5418"
"0.8000","2.3560","0.5471"
"0.8200","2.4160","0.5486"
"0.8400","2.4761","0.5500"
"0.8600","2.5362","0.5492"
"0.8800","2.5961","0.5534"
"0.9000","2.6560","0.5554"
"0.9200","2.7161","0.5578"
"0.9400","2.7762","0.5594"
"0.9600","2.8361","0.5606"
"0.9800","2.8960","0.5610"
"1.0000","2.9561","0.5613"
"1.0200","3.0161","0.5633"
"1.0400","3.0760","0.5652"
"1.0600","3.1360","0.5662"
"1.0800","3.1960","0.5671"
"1.1000","3.2558","0.5641"
"1.1200","3.3158","0.5590"
"1.1400","3.3759","0.5386"
"1.1600","3.4357","0.5192"
"1.1800","3.4958","0.5146"
"1.2000","3.5559","0.5155"
"1.2200","3.6158","0.5172"
"1.2400","3.6758","0.5186"
"1.2600","3.7358","0.5175"
"1.2800","3.7958","0.5150"
"1.3000","3.8559","0.5103"
"1.3200","3.9160","0.5067"
"1.3400","3.9758","0.5032"
"1.3600","4.0359","0.5057"
"1.3800","4.0959","0.5033"
"1.4000","4.1559","0.5074"
"1.4200","4.2160","0.5058"
"1.4400","4.2760","0.5117"
"1.4600","4.3361","0.5089"
"1.4800","4.3961","0.5150"
"1.5000","4.4563","0.5127"
"1.5200","4.5162","0.5190"
"1.5400","4.5760","0.5148"
"1.5600","4.6362","0.5221"
"1.5800","4.6961","0.5154"
"1.6000","4.7559","0.5195"
"1.6200","4.8159","0.5122"
"1.6400","4.8760","0.5180"
"1.6600","4.9360","0.5138"
"1.6800","4.9961","0.5196"
"1.7000","5.0560","0.5130"
"1.7200","5.1159","0.5140"
"1.7400","5.1760","0.5068"
"1.7600","5.2359","0.5107"
"1.7800","5.2957","0.5068"
"1.8000","5.3558","0.5124"
"1.8200","5.4158","0.5101"
"1.8400","5.4759","0.5136"
"1.8600","5.5358","0.5099"
"1.8800","5.5960","0.5127"
"1.9000","5.6561","0.5096"
"1.9200","5.7160","0.5098"
"1.9400","5.7762","0.5031"
"1.9600","5.8361","0.5005"
"1.9800","5.8960","0.4910"
"2.0000","5.9560","0.4870"
"2.0200","6.0160","0.4836"
"2.0400","6.0760","0.4850"
"2.0600","6.1361","0.4859"
"2.0800","6.1961","0.4878"
"2.1000","6.2560","0.4877"
"2.1200","6.3160","0.4888"
"2.1400","6.3761","0.4888"
"2.1600","6.4361","0.4899"
"2.1800","6.4961","0.4898"
"2.2000","6.5560","0.4924"
"2.2200","6.6159","0.4931"
"2.2400","6.6759","0.4941"
"2.2600","6.7359","0.4924"
"2.2800","6.7958","0.4947"
"2.3000","6.8559","0.4950"
"2.3200","6.9160","0.4978"
"2.3400","6.9760","0.4987"
"2.3600","7.0360","0.5023"
"2.3800","7.0959","0.5033"
"2.4000","7.1559","0.5063"
"2.4200","7.2160","0.5068"
"2.4400","7.2761","0.5092"
"2.4600","7.3361","0.5094"
"2.4800","7.3960","0.5117"
"2.5000","7.4560","0.5123"
"2.5200","7.5160","0.5124"
"2.5400","7.5761","0.5078"
"2.5600","7.6362","0.5064"
"2.5800","7.6962","0.5071"
"2.6000","7.7560","0.5100"
"2.6200","7.8159","0.5117"
"2.6400","7.8760","0.5142"
"2.6600","7.9359","0.5160"
"2.6800","7.9960","0.5190"
"2.7000","8.0560","0.5204"
"2.7200","8.1159","0.5221"
"2.7400","8.1760","0.5244"
"2.7600","8.2360","0.5260"
"2.7800","8.2959","0.5289"
"2.8000","8.3559","0.5304"
"2.8200","8.4159","0.5329"
"2.8400","8.4757","0.5333"
"2.8600","8.5357","0.5360"
"2.8800","8.5958","0.5361"
"2.9000","8.6558","0.5390"
"2.9200","8.7158","0.5395"
"2.9400","8.7761","0.5411"
"2.9600","8.8362","0.5404"
"2.9800","8.8960","0.5426"
"3.0000","8.9560","0.5435"
"3.0200","9.0161","0.5455"
"3.0400","9.0760","0.5451"
"3.0600","9.1360","0.5480"
"3.0800","9.1961","0.5482"
"3.1000","9.2560","0.5491"
"3.1200","9.3161","0.5497"
"3.1400","9.3763","0.5509"
"3.1600","9.4362","0.5507"
"3.1800","9.4962","0.5507"
"3.2000","9.5561","0.5518"
"3.2200","9.6159","0.5523"
"3.2400","9.6760","0.5534"
"3.2600","9.7359","0.5531"
"3.2800","9.7959","0.5548"
"3.3000","9.8559","0.5561"
"3.3200","9.9160","0.5591"
"3.3400","9.9759","0.5577"
"3.3600","10.0360","0.5607"
"3.3800","10.0961","0.5614"
"3.4000","10.1559","0.5633"
"3.4200","10.2158","0.5615"
"3.4400","10.2758","0.5623"
"3.4600","10.3357","0.5604"
"3.4800","10.3957","0.5623"
"3.5000","10.4558","0.5571"
"3.5200","10.5159","0.5567"
"3.5400","10.5759","0.5552"
"3.5600","10.6361","0.5585"
"3.5800","10.6962","0.5580"
"3.6000","10.7561","0.5613"
"3.6200","10.8160","0.5617"
"3.6400","10.8760","0.5637"
"3.6600","10.9358","0.5623"
"3.6800","10.9958","0.5665"
"3.7000","11.0559","0.5674"
"3.7200","11.1159","0.5697"
"3.7400","11.1759","0.5693"
"3.7600","11.2360","0.5724"
"3.7800","11.2962","0.5731"
"3.8000","11.3561","0.5761"
"3.8200","11.4161","0.5767"
"3.8400","11.4759","0.5789"
"3.8600","11.5359","0.5778"
"3.8800","11.5959","0.5790"
"3.9000","11.6558","0.5788"
"3.9200","11.7158","0.5822"
"3.9400","11.7759","0.5834"
"3.9600","11.8360","0.5856"
"3.9800","11.8960","0.5869"
"4.0000","11.9560","0.5898"
"4.0200","12.0161","0.5914"
"4.0400","12.0760","0.5933"
"4.0600","12.1361","0.5939"
"4.0800","12.1960","0.5921"
"4.1000","12.2559","0.5916"
"4.1200","12.3159","0.5933"
"4.1400","12.3760","0.5953"
"4.1600","12.4359","0.5988"
"4.1800","12.4961","0.6021"
"4.2000","12.5562","0.6035"
"4.2200","12.6162","0.6061"
"4.2400","12.6761","0.6094"
"4.2600","12.7361","0.6128"
"4.2800","12.7959","0.6134"
"4.3000","12.8559","0.6161"
"4.3200","12.9160","0.6181"
"4.3400","12.9760","0.6209"
"4.3600","13.0359","0.6231"
"4.3800","13.0960","0.6276"
"4.4000","13.1561","0.6282"
"4.4200","13.2162","0.6303"
"4.4400","13.2761","0.6305"
"4.4600","13.3360","0.6336"
"4.4800","13.3959","0.6354"
"4.5000","13.4559","0.6388"
