Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0051"
"0.0200","0.0167","0.0113"
"0.0400","0.0716","0.0838"
"0.0600","0.1214","0.1794"
"0.0800","0.1860","0.3107"
"0.1000","0.2498","0.3978"
"0.1200","0.3118","0.4669"
"0.1400","0.3730","0.4997"
"0.1600","0.4340","0.5307"
"0.1800","0.4944","0.5434"
"0.2000","0.5548","0.5658"
"0.2200","0.6152","0.5763"
"0.2400","0.6751","0.5911"
"0.2600","0.7350","0.5982"
"0.2800","0.7951","0.6113"
"0.3000","0.8552","0.6176"
"0.3200","0.9151","0.6267"
"0.3400","0.9751","0.6294"
"0.3600","1.0354","0.6349"
"0.3800","1.0953","0.6357"
"0.4000","1.1554","0.6405"
"0.4200","1.2155","0.6426"
"0.4400","1.2754","0.6486"
"0.4600","1.3353","0.6523"
"0.4800","1.3954","0.6568"
"0.5000","1.4554","0.6585"
"0.5200","1.5152","0.6630"
"0.5400","1.5753","0.6677"
"0.5600","1.6353","0.6714"
"0.5800","1.6952","0.6741"
"0.6000","1.7551","0.6781"
"0.6200","1.8153","0.6808"
"0.6400","1.8752","0.6823"
"0.6600","1.9351","0.6845"
"0.6800","1.9952","0.6870"
"0.7000","2.0552","0.6899"
"0.7200","2.1152","0.6898"
"0.7400","2.1754","0.6885"
"0.7600","2.2354","0.6866"
"0.7800","2.2952","0.6874"
"0.8000","2.3552","0.6881"
"0.8200","2.4152","0.6898"
"0.8400","2.4752","0.6912"
"0.8600","2.5352","0.6939"
"0.8800","2.5953","0.6939"
"0.9000","2.6553","0.6951"
"0.9200","2.7153","0.6959"
"0.9400","2.7754","0.6983"
"0.9600","2.8354","0.6982"
"0.9800","2.8954","0.6994"
"1.0000","2.9555","0.6991"
"1.0200","3.0152","0.7007"
"1.0400","3.0752","0.6996"
"1.0600","3.1351","0.7002"
"1.0800","3.1949","0.6986"
"1.1000","3.2549","0.7005"
"1.1200","3.3151","0.6983"
"1.1400","3.3750","0.6979"
"1.1600","3.4350","0.6956"
"1.1800","3.4951","0.6960"
"1.2000","3.5551","0.6927"
"1.2200","3.6149","0.6918"
"1.2400","3.6750","0.6886"
"1.2600","3.7350","0.6870"
"1.2800","3.7951","0.6836"
"1.3000","3.8551","0.6829"
"1.3200","3.9150","0.6794"
"1.3400","3.9751","0.6787"
"1.3600","4.0352","0.6747"
"1.3800","4.0952","0.6747"
"1.4000","4.1553","0.6733"
"1.4200","4.2153","0.6734"
"1.4400","4.2753","0.6712"
"1.4600","4.3353","0.6714"
"1.4800","4.3954","0.6692"
"1.5000","4.4552","0.6682"
"1.5200","4.5152","0.6655"
"1.5400","4.5754","0.6648"
"1.5600","4.6353","0.6627"
"1.5800","4.6952","0.6614"
"1.6000","4.7552","0.6596"
"1.6200","4.8153","0.6577"
"1.6400","4.8752","0.6545"
"1.6600","4.9352","0.6501"
"1.6800","4.9952","0.6452"
"1.7000","5.0551","0.6419"
"1.7200","5.1151","0.6394"
"1.7400","5.1751","0.6372"
"1.7600","5.2350","0.6346"
"1.7800","5.2948","0.6342"
"1.8000","5.3551","0.6340"
"1.8200","5.4151","0.6326"
"1.8400","5.4751","0.6319"
"1.8600","5.5351","0.6321"
"1.8800","5.5953","0.6321"
"1.9000","5.6553","0.6315"
"1.9200","5.7154","0.6307"
"1.9400","5.7753","0.6299"
"1.9600","5.8350","0.6293"
"1.9800","5.8950","0.6275"
"2.0000","5.9553","0.6270"
"2.0200","6.0153","0.6258"
"2.0400","6.0753","0.6229"
"2.0600","6.1353","0.6163"
"2.0800","6.1953","0.6149"
"2.1000","6.2553","0.6135"
"2.1200","6.3153","0.6150"
"2.1400","6.3752","0.6135"
"2.1600","6.4352","0.6155"
"2.1800","6.4953","0.6150"
"2.2000","6.5552","0.6166"
"2.2200","6.6151","0.6156"
"2.2400","6.6750","0.6177"
"2.2600","6.7349","0.6168"
"2.2800","6.7951","0.6199"
"2.3000","6.8553","0.6185"
"2.3200","6.9152","0.6205"
"2.3400","6.9750","0.6194"
"2.3600","7.0351","0.6224"
"2.3800","7.0953","0.6209"
"2.4000","7.1553","0.6238"
"2.4200","7.2153","0.6232"
"2.4400","7.2752","0.6250"
"2.4600","7.3352","0.6220"
"2.4800","7.3953","0.6198"
"2.5000","7.4554","0.6153"
"2.5200","7.5152","0.6153"
"2.5400","7.5753","0.6134"
"2.5600","7.6353","0.6159"
"2.5800","7.6952","0.6151"
"2.6000","7.7551","0.6172"
"2.6200","7.8151","0.6157"
"2.6400","7.8751","0.6181"
"2.6600","7.9353","0.6176"
"2.6800","7.9953","0.6201"
"2.7000","8.0552","0.6184"
"2.7200","8.1151","0.6200"
"2.7400","8.1751","0.6192"
"2.7600","8.2351","0.6204"
"2.7800","8.2951","0.6198"
"2.8000","8.3551","0.6222"
"2.8200","8.4150","0.6227"
"2.8400","8.4750","0.6238"
"2.8600","8.5350","0.6234"
"2.8800","8.5950","0.6255"
"2.9000","8.6550","0.6260"
"2.9200","8.7151","0.6273"
"2.9400","8.7753","0.6276"
"2.9600","8.8352","0.6294"
"2.9800","8.8952","0.6311"
"3.0000","8.9552","0.6319"
"3.0200","9.0153","0.6317"
"3.0400","9.0754","0.6325"
"3.0600","9.1354","0.6329"
"3.0800","9.1953","0.6332"
"3.1000","9.2553","0.6316"
"3.1200","9.3154","0.6297"
"3.1400","9.3753","0.6278"
"3.1600","9.4353","0.6220"
"3.1800","9.4953","0.6163"
"3.2000","9.5552","0.6145"
"3.2200","9.6153","0.6155"
"3.2400","9.6753","0.6150"
"3.2600","9.7351","0.6153"
"3.2800","9.7950","0.6158"
"3.3000","9.8553","0.6180"
"3.3200","9.9152","0.6179"
"3.3400","9.9752","0.6189"
"3.3600","10.0353","0.6187"
"3.3800","10.0952","0.6204"
"3.4000","10.1550","0.6186"
"3.4200","10.2150","0.6196"
"3.4400","10.2749","0.6154"
"3.4600","10.3349","0.6165"
"3.4800","10.3952","0.6156"
"3.5000","10.4552","0.6177"
"3.5200","10.5151","0.6176"
"3.5400","10.5753","0.6215"
"3.5600","10.6354","0.6221"
"3.5800","10.6952","0.6252"
"3.6000","10.7552","0.6271"
"3.6200","10.8153","0.6320"
"3.6400","10.8750","0.6326"
"3.6600","10.9351","0.6369"
"3.6800","10.9954","0.6379"
"3.7000","11.0553","0.6422"
"3.7200","11.1152","0.6437"
"3.7400","11.1751","0.6484"
"3.7600","11.2352","0.6493"
"3.7800","11.2951","0.6521"
"3.8000","11.3552","0.6518"
"3.8200","11.4152","0.6562"
"3.8400","11.4752","0.6582"
"3.8600","11.5353","0.6624"
"3.8800","11.5953","0.6628"
"3.9000","11.6551","0.6668"
"3.9200","11.7151","0.6691"
"3.9400","11.7751","0.6723"
"3.9600","11.8351","0.6729"
"3.9800","11.8951","0.6767"
"4.0000","11.9553","0.6795"
"4.0200","12.0152","0.6840"
"4.0400","12.0752","0.6851"
"4.0600","12.1351","0.6893"
"4.0800","12.1952","0.6922"
"4.1000","12.2552","0.6959"
"4.1200","12.3153","0.6972"
"4.1400","12.3752","0.7007"
"4.1600","12.4353","0.7032"
"4.1800","12.4954","0.7061"
"4.2000","12.5552","0.7072"
"4.2200","12.6152","0.7097"
"4.2400","12.6752","0.7117"
"4.2600","12.7351","0.7150"
"4.2800","12.7951","0.7176"
"4.3000","12.8552","0.7210"
"4.3200","12.9151","0.7228"
"4.3400","12.9750","0.7264"
"4.3600","13.0351","0.7291"
"4.3800","13.0953","0.7326"
"4.4000","13.1553","0.7357"
"4.4200","13.2153","0.7364"
"4.4400","13.2753","0.7355"
"4.4600","13.3350","0.7366"
"4.4800","13.3949","0.7401"
"4.5000","13.4552","0.7429"
"4.5200","13.5150","0.7459"
"4.5400","13.5749","0.7487"
"4.5600","13.6350","0.7515"
"4.5800","13.6950","0.7525"
"4.6000","13.7551","0.7549"
"4.6200","13.8153","0.7579"
"4.6400","13.8751","0.7622"
"4.6600","13.9351","0.7644"
"4.6800","13.9952","0.7682"
"4.7000","14.0552","0.7709"
"4.7200","14.1153","0.7746"
"4.7400","14.1752","0.7756"
"4.7600","14.2353","0.7801"
"4.7800","14.2953","0.7823"
"4.8000","14.3553","0.7866"
"4.8200","14.4153","0.7878"
"4.8400","14.4753","0.7914"
"4.8600","14.5353","0.7925"
"4.8800","14.5953","0.7972"
"4.9000","14.6551","0.7979"
"4.9200","14.7152","0.8019"
"4.9400","14.7753","0.8027"
"4.9600","14.8352","0.8072"
"4.9800","14.8951","0.8073"
"5.0000","14.9552","0.8058"
"5.0200","15.0151","0.8021"
"5.0400","15.0750","0.8040"
"5.0600","15.1352","0.8041"
"5.0800","15.1950","0.8061"
"5.1000","15.2550","0.8051"
"5.1200","15.3151","0.8056"
"5.1400","15.3749","0.8028"
"5.1600","15.4350","0.8012"
"5.1800","15.4950","0.7943"
"5.2000","15.5550","0.7922"
"5.2200","15.6150","0.7899"
"5.2400","15.6751","0.7923"
"5.2600","15.7351","0.7921"
"5.2800","15.7952","0.7948"
