Time,Displacement,Force,Total cycle count,Cycle count
(s),(mm),(N),,
"0.0000","0.0000","0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0025","0.0000","0.0000"
"0.0290","0.0000","-0.0034","0.0000","0.0000"
"0.0490","0.0189","0.0188","0.0000","0.0000"
"0.0690","0.0749","0.0572","0.0000","0.0000"
"0.0890","0.1272","0.0836","0.0000","0.0000"
"0.1090","0.1919","0.1312","0.0000","0.0000"
"0.1290","0.2549","0.1575","0.0000","0.0000"
"0.1490","0.3161","0.1910","0.0000","0.0000"
"0.1690","0.3770","0.2096","0.0000","0.0000"
"0.1890","0.4377","0.2309","0.0000","0.0000"
"0.2090","0.4980","0.2373","0.0000","0.0000"
"0.2290","0.5581","0.2556","0.0000","0.0000"
"0.2490","0.6183","0.2616","0.0000","0.0000"
"0.2690","0.6782","0.2735","0.0000","0.0000"
"0.2890","0.7383","0.2754","0.0000","0.0000"
"0.3090","0.7985","0.2872","0.0000","0.0000"
"0.3290","0.8585","0.2907","0.0000","0.0000"
"0.3490","0.9185","0.2992","0.0000","0.0000"
"0.3690","0.9785","0.2996","0.0000","0.0000"
"0.3890","1.0385","0.3085","0.0000","0.0000"
"0.4090","1.0985","0.3111","0.0000","0.0000"
"0.4290","1.1585","0.3185","0.0000","0.0000"
"0.4490","1.2186","0.3180","0.0000","0.0000"
"0.4690","1.2785","0.3242","0.0000","0.0000"
"0.4890","1.3385","0.3281","0.0000","0.0000"
"0.5090","1.3986","0.3329","0.0000","0.0000"
"0.5290","1.4585","0.3326","0.0000","0.0000"
"0.5490","1.5186","0.3370","0.0000","0.0000"
"0.5690","1.5788","0.3404","0.0000","0.0000"
"0.5890","1.6386","0.3454","0.0000","0.0000"
"0.6090","1.6987","0.3457","0.0000","0.0000"
"0.6290","1.7587","0.3478","0.0000","0.0000"
"0.6490","1.8186","0.3514","0.0000","0.0000"
"0.6690","1.8784","0.3559","0.0000","0.0000"
"0.6890","1.9384","0.3575","0.0000","0.0000"
"0.7090","1.9984","0.3597","0.0000","0.0000"
"0.7290","2.0586","0.3630","0.0000","0.0000"
"0.7490","2.1186","0.3667","0.0000","0.0000"
"0.7690","2.1785","0.3677","0.0000","0.0000"
"0.7890","2.2386","0.3694","0.0000","0.0000"
"0.8090","2.2986","0.3718","0.0000","0.0000"
"0.8290","2.3585","0.3767","0.0000","0.0000"
"0.8490","2.4186","0.3790","0.0000","0.0000"
"0.8690","2.4786","0.3810","0.0000","0.0000"
"0.8890","2.5385","0.3816","0.0000","0.0000"
"0.9090","2.5983","0.3862","0.0000","0.0000"
"0.9290","2.6585","0.3887","0.0000","0.0000"
"0.9490","2.7185","0.3908","0.0000","0.0000"
"0.9690","2.7785","0.3908","0.0000","0.0000"
"0.9890","2.8385","0.3944","0.0000","0.0000"
"1.0090","2.8985","0.3973","0.0000","0.0000"
"1.0290","2.9583","0.3989","0.0000","0.0000"
"1.0490","3.0184","0.3994","0.0000","0.0000"
"1.0690","3.0785","0.4029","0.0000","0.0000"
"1.0890","3.1384","0.4048","0.0000","0.0000"
"1.1090","3.1983","0.4076","0.0000","0.0000"
"1.1290","3.2584","0.4081","0.0000","0.0000"
"1.1490","3.3184","0.4094","0.0000","0.0000"
"1.1690","3.3784","0.4118","0.0000","0.0000"
"1.1890","3.4385","0.4135","0.0000","0.0000"
"1.2090","3.4985","0.4134","0.0000","0.0000"
"1.2290","3.5586","0.4147","0.0000","0.0000"
"1.2490","3.6186","0.4172","0.0000","0.0000"
"1.2690","3.6786","0.4189","0.0000","0.0000"
"1.2890","3.7386","0.4188","0.0000","0.0000"
"1.3090","3.7986","0.4185","0.0000","0.0000"
"1.3290","3.8585","0.4211","0.0000","0.0000"
"1.3490","3.9186","0.4229","0.0000","0.0000"
"1.3690","3.9785","0.4232","0.0000","0.0000"
"1.3890","4.0386","0.4217","0.0000","0.0000"
"1.4090","4.0985","0.4229","0.0000","0.0000"
"1.4290","4.1585","0.4242","0.0000","0.0000"
"1.4490","4.2185","0.4242","0.0000","0.0000"
"1.4690","4.2786","0.4228","0.0000","0.0000"
"1.4890","4.3385","0.4241","0.0000","0.0000"
"1.5090","4.3985","0.4260","0.0000","0.0000"
"1.5290","4.4583","0.4275","0.0000","0.0000"
"1.5490","4.5185","0.4272","0.0000","0.0000"
"1.5690","4.5785","0.4273","0.0000","0.0000"
"1.5890","4.6383","0.4290","0.0000","0.0000"
"1.6090","4.6984","0.4308","0.0000","0.0000"
"1.6290","4.7585","0.4306","0.0000","0.0000"
"1.6490","4.8184","0.4302","0.0000","0.0000"
"1.6690","4.8784","0.4328","0.0000","0.0000"
"1.6890","4.9385","0.4337","0.0000","0.0000"
"1.7090","4.9985","0.4333","0.0000","0.0000"
"1.7290","5.0586","0.4323","0.0000","0.0000"
"1.7490","5.1186","0.4348","0.0000","0.0000"
"1.7690","5.1785","0.4358","0.0000","0.0000"
"1.7890","5.2384","0.4371","0.0000","0.0000"
"1.8090","5.2984","0.4354","0.0000","0.0000"
"1.8290","5.3585","0.4365","0.0000","0.0000"
"1.8490","5.4185","0.4376","0.0000","0.0000"
"1.8690","5.4785","0.4380","0.0000","0.0000"
"1.8890","5.5386","0.4362","0.0000","0.0000"
"1.9090","5.5985","0.4364","0.0000","0.0000"
"1.9290","5.6584","0.4372","0.0000","0.0000"
"1.9490","5.7185","0.4381","0.0000","0.0000"
"1.9690","5.7784","0.4360","0.0000","0.0000"
"1.9890","5.8384","0.4357","0.0000","0.0000"
"2.0090","5.8984","0.4365","0.0000","0.0000"
"2.0290","5.9583","0.4363","0.0000","0.0000"
"2.0490","6.0184","0.4343","0.0000","0.0000"
"2.0690","6.0784","0.4331","0.0000","0.0000"
"2.0890","6.1384","0.4344","0.0000","0.0000"
"2.1090","6.1985","0.4350","0.0000","0.0000"
"2.1290","6.2585","0.4342","0.0000","0.0000"
"2.1490","6.3184","0.4333","0.0000","0.0000"
"2.1690","6.3784","0.4352","0.0000","0.0000"
"2.1890","6.4385","0.4368","0.0000","0.0000"
"2.2090","6.4986","0.4363","0.0000","0.0000"
"2.2290","6.5587","0.4353","0.0000","0.0000"
"2.2490","6.6187","0.4366","0.0000","0.0000"
"2.2690","6.6787","0.4376","0.0000","0.0000"
"2.2890","6.7386","0.4380","0.0000","0.0000"
"2.3090","6.7987","0.4379","0.0000","0.0000"
"2.3290","6.8587","0.4378","0.0000","0.0000"
"2.3490","6.9186","0.4398","0.0000","0.0000"
"2.3690","6.9786","0.4408","0.0000","0.0000"
"2.3890","7.0387","0.4398","0.0000","0.0000"
"2.4090","7.0984","0.4387","0.0000","0.0000"
"2.4290","7.1583","0.4408","0.0000","0.0000"
"2.4490","7.2185","0.4421","0.0000","0.0000"
"2.4690","7.2785","0.4419","0.0000","0.0000"
"2.4890","7.3384","0.4406","0.0000","0.0000"
"2.5090","7.3985","0.4422","0.0000","0.0000"
"2.5290","7.4584","0.4426","0.0000","0.0000"
"2.5490","7.5184","0.4433","0.0000","0.0000"
"2.5690","7.5784","0.4419","0.0000","0.0000"
"2.5890","7.6384","0.4433","0.0000","0.0000"
"2.6090","7.6983","0.4442","0.0000","0.0000"
"2.6290","7.7584","0.4449","0.0000","0.0000"
"2.6490","7.8183","0.4434","0.0000","0.0000"
"2.6690","7.8783","0.4440","0.0000","0.0000"
"2.6890","7.9385","0.4453","0.0000","0.0000"
"2.7090","7.9984","0.4463","0.0000","0.0000"
"2.7290","8.0585","0.4457","0.0000","0.0000"
"2.7490","8.1185","0.4456","0.0000","0.0000"
"2.7690","8.1785","0.4468","0.0000","0.0000"
"2.7890","8.2385","0.4474","0.0000","0.0000"
"2.8090","8.2985","0.4471","0.0000","0.0000"
"2.8290","8.3585","0.4462","0.0000","0.0000"
"2.8490","8.4185","0.4475","0.0000","0.0000"
"2.8690","8.4786","0.4484","0.0000","0.0000"
"2.8890","8.5386","0.4481","0.0000","0.0000"
"2.9090","8.5985","0.4473","0.0000","0.0000"
"2.9290","8.6585","0.4486","0.0000","0.0000"
"2.9490","8.7186","0.4491","0.0000","0.0000"
"2.9690","8.7785","0.4492","0.0000","0.0000"
"2.9890","8.8385","0.4481","0.0000","0.0000"
"3.0090","8.8985","0.4485","0.0000","0.0000"
"3.0290","8.9584","0.4497","0.0000","0.0000"
"3.0490","9.0185","0.4501","0.0000","0.0000"
"3.0690","9.0785","0.4488","0.0000","0.0000"
"3.0890","9.1384","0.4484","0.0000","0.0000"
"3.1090","9.1984","0.4495","0.0000","0.0000"
"3.1290","9.2585","0.4478","0.0000","0.0000"
"3.1490","9.3185","0.4450","0.0000","0.0000"
"3.1690","9.3784","0.4433","0.0000","0.0000"
"3.1890","9.4385","0.4447","0.0000","0.0000"
"3.2090","9.4985","0.4446","0.0000","0.0000"
"3.2290","9.5585","0.4446","0.0000","0.0000"
"3.2490","9.6184","0.4425","0.0000","0.0000"
"3.2690","9.6784","0.4445","0.0000","0.0000"
"3.2890","9.7384","0.4444","0.0000","0.0000"
"3.3090","9.7984","0.4454","0.0000","0.0000"
"3.3290","9.8584","0.4444","0.0000","0.0000"
"3.3490","9.9185","0.4459","0.0000","0.0000"
"3.3690","9.9785","0.4464","0.0000","0.0000"
"3.3890","10.0385","0.4479","0.0000","0.0000"
"3.4090","10.0984","0.4467","0.0000","0.0000"
"3.4290","10.1585","0.4481","0.0000","0.0000"
"3.4490","10.2185","0.4490","0.0000","0.0000"
"3.4690","10.2784","0.4503","0.0000","0.0000"
"3.4890","10.3385","0.4494","0.0000","0.0000"
"3.5090","10.3984","0.4491","0.0000","0.0000"
"3.5290","10.4582","0.4507","0.0000","0.0000"
"3.5490","10.5183","0.4523","0.0000","0.0000"
"3.5690","10.5784","0.4516","0.0000","0.0000"
"3.5890","10.6383","0.4514","0.0000","0.0000"
"3.6090","10.6985","0.4529","0.0000","0.0000"
"3.6290","10.7585","0.4543","0.0000","0.0000"
"3.6490","10.8184","0.4549","0.0000","0.0000"
"3.6690","10.8784","0.4541","0.0000","0.0000"
"3.6890","10.9384","0.4548","0.0000","0.0000"
"3.7090","10.9984","0.4558","0.0000","0.0000"
"3.7290","11.0585","0.4568","0.0000","0.0000"
"3.7490","11.1184","0.4562","0.0000","0.0000"
"3.7690","11.1784","0.4574","0.0000","0.0000"
"3.7890","11.2384","0.4587","0.0000","0.0000"
"3.8090","11.2984","0.4597","0.0000","0.0000"
"3.8290","11.3584","0.4592","0.0000","0.0000"
"3.8490","11.4186","0.4600","0.0000","0.0000"
"3.8690","11.4786","0.4605","0.0000","0.0000"
"3.8890","11.5387","0.4628","0.0000","0.0000"
"3.9090","11.5986","0.4622","0.0000","0.0000"
"3.9290","11.6586","0.4613","0.0000","0.0000"
"3.9490","11.7186","0.4617","0.0000","0.0000"
"3.9690","11.7787","0.4641","0.0000","0.0000"
"3.9890","11.8387","0.4643","0.0000","0.0000"
"4.0090","11.8986","0.4640","0.0000","0.0000"
"4.0290","11.9584","0.4651","0.0000","0.0000"
"4.0430","12.0005","0.4663","0.5000","0.5000"
"4.0440","12.0035","0.4664","0.5000","0.5000"
"4.0450","12.0065","0.4665","0.5000","0.5000"
"4.0650","12.0212","0.4197","0.5000","0.5000"
"4.0850","11.9648","0.3937","0.5000","0.5000"
"4.1050","11.9132","0.4281","0.5000","0.5000"
"4.1250","11.8488","0.4212","0.5000","0.5000"
"4.1450","11.7860","0.4292","0.5000","0.5000"
"4.1650","11.7247","0.4115","0.5000","0.5000"
"4.1850","11.6637","0.4069","0.5000","0.5000"
"4.2050","11.6030","0.3893","0.5000","0.5000"
"4.2250","11.5426","0.3889","0.5000","0.5000"
"4.2450","11.4823","0.3716","0.5000","0.5000"
"4.2650","11.4221","0.3689","0.5000","0.5000"
"4.2850","11.3619","0.3563","0.5000","0.5000"
"4.3050","11.3020","0.3551","0.5000","0.5000"
"4.3250","11.2419","0.3425","0.5000","0.5000"
"4.3450","11.1817","0.3377","0.5000","0.5000"
"4.3650","11.1218","0.3274","0.5000","0.5000"
"4.3850","11.0617","0.3254","0.5000","0.5000"
"4.4050","11.0017","0.3138","0.5000","0.5000"
"4.4250","10.9416","0.3107","0.5000","0.5000"
"4.4450","10.8816","0.3006","0.5000","0.5000"
"4.4650","10.8216","0.2979","0.5000","0.5000"
"4.4850","10.7616","0.2894","0.5000","0.5000"
"4.5050","10.7017","0.2854","0.5000","0.5000"
"4.5250","10.6416","0.2761","0.5000","0.5000"
"4.5450","10.5815","0.2738","0.5000","0.5000"
"4.5650","10.5216","0.2657","0.5000","0.5000"
"4.5850","10.4617","0.2619","0.5000","0.5000"
"4.6050","10.4016","0.2518","0.5000","0.5000"
"4.6250","10.3417","0.2498","0.5000","0.5000"
"4.6450","10.2817","0.2420","0.5000","0.5000"
"4.6650","10.2217","0.2374","0.5000","0.5000"
"4.6850","10.1617","0.2299","0.5000","0.5000"
"4.7050","10.1018","0.2267","0.5000","0.5000"
